cluster,assay,feature,rho,p,n,neglog10p
10: Memory CD4 T helper,RNA,YJEFN3,-0.883829172301718,3.065507509826147e-4,11,3.5134976156084936
10: Memory CD4 T helper,RNA,TRAV14DV4,0.8727272727272727,4.546150514096433e-4,11,3.3423561897374396
10: Memory CD4 T helper,RNA,THAP7-AS1,0.8715963140583688,4.722751461450642e-4,11,3.32580490891423
10: Memory CD4 T helper,RNA,BMERB1,-0.8636363636363636,6.116938500931739e-4,11,3.213465885832139
10: Memory CD4 T helper,RNA,AC009226.1,-0.8633970960424556,6.163160723566322e-4,11,3.210196506543572
10: Memory CD4 T helper,RNA,CCDC50,0.8545454545454546,8.066741521648989e-4,11,3.0933018587034957
10: Memory CD4 T helper,RNA,ZNF90,0.8545454545454546,8.066741521648989e-4,11,3.0933018587034957
10: Memory CD4 T helper,RNA,ALKBH6,0.8545454545454546,8.066741521648989e-4,11,3.0933018587034957
10: Memory CD4 T helper,RNA,CHAC2,-0.8454545454545456,0.001045182145858681,11,2.9808080176409244
10: Memory CD4 T helper,RNA,ZNF367,-0.8454545454545456,0.001045182145858681,11,2.9808080176409244
10: Memory CD4 T helper,RNA,THBS3,0.8454545454545456,0.001045182145858685,11,2.980808017640923
10: Memory CD4 T helper,RNA,HEXB,0.8454545454545456,0.001045182145858685,11,2.980808017640923
10: Memory CD4 T helper,RNA,AC022126.1,-0.8377018990932704,0.001287441335113488,11,2.8902725513484877
10: Memory CD4 T helper,RNA,PRR13,0.8363636363636363,0.0013331850799508619,11,2.875109555295987
11: Naïve B cell,ADT,FCGR1A,-0.880952380952381,0.0038503204637324114,8,2.4145031224814595
11: Naïve B cell,ADT,CD5,-0.8571428571428573,0.00653001725471529,8,2.185085671157126
11: Naïve B cell,ADT,ITGB7,-0.8095238095238095,0.014902667686230074,8,1.8267359827482956
11: Naïve B cell,ADT,CD101,-0.7857142857142858,0.020815127253525287,8,1.6816209297046647
11: Naïve B cell,ADT,Rat-IgG2a,-0.7380952380952382,0.036552761052860795,8,1.4370798125574886
11: Naïve B cell,ADT,IL3RA,-0.6904761904761907,0.05799031816457264,8,1.2366445084833904
11: Naïve B cell,ADT,IGHM,-0.6904761904761907,0.05799031816457264,8,1.2366445084833904
11: Naïve B cell,ADT,Hamster-IgG,-0.6666666666666667,0.07098765432098751,8,1.14881717418902
11: Naïve B cell,ADT,ICOS,-0.65873254924026,0.07566679148584919,8,1.1210946811181146
11: Naïve B cell,ADT,ITGA2,-0.6586944440522925,0.07568968784163853,8,1.120963285870352
11: Naïve B cell,ADT,ITGAX,-0.642857142857143,0.08555889101267292,8,1.0677348532519588
11: Naïve B cell,ADT,IGKC,-0.642857142857143,0.08555889101267292,8,1.0677348532519588
11: Naïve B cell,ADT,SIGLEC7,-0.642857142857143,0.08555889101267292,8,1.0677348532519588
11: Naïve B cell,ADT,LAMP1,0.6347419188140273,0.09089043638915878,8,1.0414818114086384
11: Naïve B cell,ADT,CD33,-0.6190476190476192,0.10173303745426454,8,0.9925379885315156
11: Naïve B cell,ADT,TFRC,-0.6190476190476192,0.10173303745426454,8,0.9925379885315156
11: Naïve B cell,ADT,CD14,0.5628843430992317,0.14633153260555035,8,0.8346620787892818
11: Naïve B cell,ADT,Mouse-IgG2b,-0.5509080804800992,0.15701842199789104,8,0.8040493915227243
11: Naïve B cell,ADT,IL2RB,0.5509080804800992,0.15701842199789104,8,0.8040493915227243
11: Naïve B cell,ADT,CD44,-0.5476190476190477,0.1600256425388963,8,0.7958104203387844
11: Naïve B cell,RNA,RETSAT,0.9761904761904763,3.3143960262001043e-5,8,4.479595600407446
11: Naïve B cell,RNA,DLL1,0.9700772721497398,6.548558831120588e-5,8,4.183854266505633
11: Naïve B cell,RNA,MRPS28,-0.9523809523809526,2.604000243872459e-4,8,3.5843589794308586
11: Naïve B cell,RNA,TRIM66,-0.9523809523809526,2.604000243872459e-4,8,3.5843589794308586
11: Naïve B cell,RNA,ZFYVE28,0.9523809523809526,2.6040002438724964e-4,8,3.5843589794308524
11: Naïve B cell,RNA,RMND1,0.9523809523809526,2.6040002438724964e-4,8,3.5843589794308524
11: Naïve B cell,RNA,RSAD1,0.9523809523809526,2.6040002438724964e-4,8,3.5843589794308524
11: Naïve B cell,RNA,CC2D1A,0.9523809523809526,2.6040002438724964e-4,8,3.5843589794308524
11: Naïve B cell,RNA,MIR4458HG,-0.9461247469114747,3.753118737904433e-4,8,3.4256076955387003
11: Naïve B cell,RNA,MDC1-AS1,-0.9461247469114747,3.753118737904433e-4,8,3.4256076955387003
11: Naïve B cell,RNA,NUDCD1,-0.9285714285714287,8.62968182899974e-4,8,3.064005216156979
11: Naïve B cell,RNA,CHROMR,0.9285714285714287,8.629681828999778e-4,8,3.064005216156977
11: Naïve B cell,RNA,LPP-AS2,0.9285714285714287,8.629681828999778e-4,8,3.064005216156977
11: Naïve B cell,RNA,CHCHD2,0.9285714285714287,8.629681828999778e-4,8,3.064005216156977
11: Naïve B cell,RNA,KRBA1,0.9285714285714287,8.629681828999778e-4,8,3.064005216156977
11: Naïve B cell,RNA,KAT7,0.9285714285714287,8.629681828999778e-4,8,3.064005216156977
11: Naïve B cell,RNA,CLIC5,-0.913223320977314,0.001529138242959886,8,2.815553250074495
11: Naïve B cell,RNA,MYCBP,-0.904761904761905,0.0020082755054294473,8,2.697176708718135
11: Naïve B cell,RNA,NFXL1,-0.904761904761905,0.0020082755054294473,8,2.697176708718135
11: Naïve B cell,RNA,PRMT9,-0.904761904761905,0.0020082755054294473,8,2.697176708718135
12: DNAM1+ CD4 T cell,ADT,CD45RO,0.9272727272727272,3.9737742565586e-5,11,4.400796808065557
12: DNAM1+ CD4 T cell,ADT,TIGIT,0.6727272727272727,0.023313039833185972,11,1.6324010942741802
12: DNAM1+ CD4 T cell,ADT,HLA-A,0.6,0.051003260706950763,11,1.2924020579850433
12: DNAM1+ CD4 T cell,ADT,GP1BB,0.5818181818181819,0.060419896215648354,11,1.2188200250576067
12: DNAM1+ CD4 T cell,ADT,CD19,-0.5727272727272728,0.06554305260101853,11,1.1834733356587832
12: DNAM1+ CD4 T cell,ADT,Rat-IgG1,-0.5636363636363636,0.07095173447637536,11,1.1490369833733638
12: DNAM1+ CD4 T cell,ADT,CD99,0.5454545454545454,0.08265095734417509,11,1.0827521116402097
12: DNAM1+ CD4 T cell,ADT,CLEC12A,0.5181818181818182,0.10249153979096383,11,0.9893119821569207
12: DNAM1+ CD4 T cell,ADT,KIR2DL3,0.509090909090909,0.10973723224165649,11,0.9596459976421648
12: DNAM1+ CD4 T cell,ADT,FCGR1A,-0.49090909090909096,0.12520440713849532,11,0.9023803838872249
12: DNAM1+ CD4 T cell,ADT,CD81,0.49090909090909096,0.12520440713849532,11,0.9023803838872249
12: DNAM1+ CD4 T cell,ADT,ITGA2B,0.4727272727272727,0.14199852020632006,11,0.8477161814590436
12: DNAM1+ CD4 T cell,ADT,CX3CR1,-0.4632862466569275,0.15125118127195503,11,0.8203012248216863
12: DNAM1+ CD4 T cell,ADT,CD36,0.45454545454545453,0.16014543725525882,11,0.7954854304194036
12: DNAM1+ CD4 T cell,ADT,KLRD1,0.45454545454545453,0.16014543725525882,11,0.7954854304194036
12: DNAM1+ CD4 T cell,ADT,IL3RA,-0.4454545454545455,0.16973260492681155,11,0.770234723506378
12: DNAM1+ CD4 T cell,ADT,ITGA6,0.4454545454545455,0.16973260492681175,11,0.7702347235063776
12: DNAM1+ CD4 T cell,ADT,BTLA,0.4454545454545455,0.16973260492681175,11,0.7702347235063776
12: DNAM1+ CD4 T cell,ADT,ITGB1,0.4454545454545455,0.16973260492681175,11,0.7702347235063776
12: DNAM1+ CD4 T cell,ADT,Mouse-IgG2b,-0.44197999993927367,0.17348788670581336,11,0.7607308431813299
12: DNAM1+ CD4 T cell,RNA,MED11,0.9090909090909091,1.0559337630360888e-4,11,3.9763633235163525
12: DNAM1+ CD4 T cell,RNA,MPEG1,-0.8962548338908568,1.8770558256252196e-4,11,3.7265228108094233
12: DNAM1+ CD4 T cell,RNA,RPS3A,-0.890909090909091,2.334581703787314e-4,11,3.6317909223829665
12: DNAM1+ CD4 T cell,RNA,SYCP2,0.8899457101438081,2.4253109291336514e-4,11,3.6152325761747948
12: DNAM1+ CD4 T cell,RNA,GNRH1,-0.8872700588029314,2.691392639893939e-4,11,3.5700229395828593
12: DNAM1+ CD4 T cell,RNA,ZNF436,-0.8727272727272727,4.5461505140964175e-4,11,3.342356189737441
12: DNAM1+ CD4 T cell,RNA,LRIG2,-0.8727272727272727,4.5461505140964175e-4,11,3.342356189737441
12: DNAM1+ CD4 T cell,RNA,STAMBP,0.8727272727272727,4.546150514096433e-4,11,3.3423561897374396
12: DNAM1+ CD4 T cell,RNA,PPP1R14A,-0.867650956213489,5.379745642282651e-4,11,3.2692382575612107
12: DNAM1+ CD4 T cell,RNA,NADSYN1,0.8636363636363636,0.00061169385009317105,11,3.2134658858321408
12: DNAM1+ CD4 T cell,RNA,MED6,0.8545454545454546,8.066741521648989e-4,11,3.0933018587034957
12: DNAM1+ CD4 T cell,RNA,SPI1,-0.8485817044285772,9.5786244181811e-4,11,3.018696855273023
12: DNAM1+ CD4 T cell,RNA,SKP2,0.8454545454545456,0.001045182145858685,11,2.980808017640923
12: DNAM1+ CD4 T cell,RNA,PHAX,0.8454545454545456,0.001045182145858685,11,2.980808017640923
12: DNAM1+ CD4 T cell,RNA,TRBV10-3,0.8454545454545456,0.001045182145858685,11,2.980808017640923
12: DNAM1+ CD4 T cell,RNA,UBE2N,0.8454545454545456,0.001045182145858685,11,2.980808017640923
12: DNAM1+ CD4 T cell,RNA,JKAMP,0.8454545454545456,0.001045182145858685,11,2.980808017640923
12: DNAM1+ CD4 T cell,RNA,LEO1,0.8454545454545456,0.001045182145858685,11,2.980808017640923
12: DNAM1+ CD4 T cell,RNA,AMZ2,0.8454545454545456,0.001045182145858685,11,2.980808017640923
12: DNAM1+ CD4 T cell,RNA,LINC00662,-0.8363636363636363,0.0013331850799508597,11,2.875109555295988
13: Transitional B cell,ADT,SELP,-0.9211793682944862,5.6564736684833926e-5,11,4.247454230223306
13: Transitional B cell,ADT,ITGB7,-0.6636363636363636,0.025984133918765542,11,1.5852917541372322
13: Transitional B cell,ADT,Mouse-IgG1,-0.6187719999149831,0.04239135336328919,11,1.3727227181610504
13: Transitional B cell,ADT,KLRD1,-0.6181818181818182,0.042645569805326744,11,1.3701260784245666
13: Transitional B cell,ADT,CD274,-0.5607779642012423,0.07271238197466726,11,1.1383916281314108
13: Transitional B cell,ADT,ITGB1,0.5454545454545454,0.08265095734417509,11,1.0827521116402097
13: Transitional B cell,ADT,CD14,0.5363636363636364,0.08895341813596276,11,1.0508373590014695
13: Transitional B cell,ADT,B3GAT1,-0.5363636363636364,0.08895341813596276,11,1.0508373590014695
13: Transitional B cell,ADT,CXCR3,-0.5148697981926199,0.10509407974819746,11,0.9784217483400509
13: Transitional B cell,ADT,CD69,0.509090909090909,0.10973723224165649,11,0.9596459976421648
13: Transitional B cell,ADT,GP1BB,-0.5,0.11730680301423815,11,0.930676800963147
13: Transitional B cell,ADT,Human-Ig,0.5,0.11730680301423815,11,0.930676800963147
13: Transitional B cell,ADT,CLEC12A,-0.49090909090909096,0.12520440713849532,11,0.9023803838872249
13: Transitional B cell,ADT,TCR-vD2,-0.4727272727272727,0.14199852020632006,11,0.8477161814590436
13: Transitional B cell,ADT,FCGR3A,-0.45454545454545453,0.16014543725525882,11,0.7954854304194036
13: Transitional B cell,ADT,ITGB2,-0.45454545454545453,0.16014543725525882,11,0.7954854304194036
13: Transitional B cell,ADT,SIGLEC7,-0.4454545454545455,0.16973260492681155,11,0.770234723506378
13: Transitional B cell,ADT,SIGLEC1,-0.432675157835289,0.1837934892082141,11,0.735669877340702
13: Transitional B cell,ADT,CD45RO,0.41818181818181815,0.20057021703405067,11,0.697733555553169
13: Transitional B cell,ADT,CD226,-0.3910359202286804,0.23437483828798394,11,0.6300890145790239
13: Transitional B cell,RNA,FANCG,0.9,1.5997142806871369e-4,11,3.795957578220075
13: Transitional B cell,RNA,UBE2H,0.890909090909091,2.3345817037873244e-4,11,3.6317909223829647
13: Transitional B cell,RNA,DCAF12,0.8818181818181817,3.301688021839032e-4,11,3.481263965838476
13: Transitional B cell,RNA,FARP1,-0.8793075788265549,3.615632625124409e-4,11,3.4418157034695325
13: Transitional B cell,RNA,ZXDB,0.8727272727272727,4.546150514096433e-4,11,3.3423561897374396
13: Transitional B cell,RNA,WDTC1,0.8636363636363636,0.00061169385009317105,11,3.2134658858321408
13: Transitional B cell,RNA,BRD3,0.8545454545454546,8.066741521648989e-4,11,3.0933018587034957
13: Transitional B cell,RNA,GRIP1,-0.8476155310352027,9.84230984908125e-4,11,3.006902966915428
13: Transitional B cell,RNA,KLHL23,-0.8454545454545456,0.001045182145858681,11,2.9808080176409244
13: Transitional B cell,RNA,SPDL1,-0.8454545454545456,0.001045182145858681,11,2.9808080176409244
13: Transitional B cell,RNA,BUB3,0.8454545454545456,0.001045182145858685,11,2.980808017640923
13: Transitional B cell,RNA,UQCRFS1,0.8454545454545456,0.001045182145858685,11,2.980808017640923
13: Transitional B cell,RNA,PIM3,0.8454545454545456,0.001045182145858685,11,2.980808017640923
13: Transitional B cell,RNA,IGKV3-11,0.8382709675438974,0.001268350895078268,11,2.896760580275792
13: Transitional B cell,RNA,AL391839.1,-0.8377018990932704,0.001287441335113488,11,2.8902725513484877
13: Transitional B cell,RNA,GSK3B,-0.8363636363636363,0.0013331850799508597,11,2.875109555295988
13: Transitional B cell,RNA,CBLL1,0.8363636363636363,0.0013331850799508619,11,2.875109555295987
13: Transitional B cell,RNA,OIP5-AS1,0.8363636363636363,0.0013331850799508619,11,2.875109555295987
13: Transitional B cell,RNA,ITGAE,0.8363636363636363,0.0013331850799508619,11,2.875109555295987
13: Transitional B cell,RNA,TRABD,0.8363636363636363,0.0013331850799508619,11,2.875109555295987
14: CD14hi CD16+ Monocyte,ADT,FCGR1A,0.7575757575757575,0.011143446799694208,10,1.9529804559706303
14: CD14hi CD16+ Monocyte,ADT,HLA-DRA,0.6969696969696969,0.02509667588225183,10,1.6003837981045506
14: CD14hi CD16+ Monocyte,ADT,SIGLEC1,0.6969696969696969,0.02509667588225183,10,1.6003837981045506
14: CD14hi CD16+ Monocyte,ADT,CXCR3,-0.6833490732084481,0.029376683479613773,10,1.5319972360408178
14: CD14hi CD16+ Monocyte,ADT,CD45RO,0.6727272727272726,0.03304122254543776,10,1.4809438918929771
14: CD14hi CD16+ Monocyte,ADT,ITGB1,0.6727272727272726,0.03304122254543776,10,1.4809438918929771
14: CD14hi CD16+ Monocyte,ADT,CD69,0.6484848484848484,0.042540127684489414,10,1.3712012108934224
14: CD14hi CD16+ Monocyte,ADT,GGT1,0.6,0.066688,10,1.1759523070526072
14: CD14hi CD16+ Monocyte,ADT,ITGAE,0.5757575757575757,0.08155281477260244,10,1.0885610448123906
14: CD14hi CD16+ Monocyte,ADT,CD1C,0.5757575757575757,0.08155281477260244,10,1.0885610448123906
14: CD14hi CD16+ Monocyte,ADT,CD14,0.5393939393939393,0.10759318778241472,10,0.9682152249722615
14: CD14hi CD16+ Monocyte,ADT,B3GAT1,-0.5151515151515151,0.1275528697032343,10,0.8943097661231088
14: CD14hi CD16+ Monocyte,ADT,CD82,0.5030303030303029,0.13833369839449197,10,0.8590720119075392
14: CD14hi CD16+ Monocyte,ADT,FCER1A,-0.4620082131968491,0.17885658556184708,10,0.7474950643463489
14: CD14hi CD16+ Monocyte,ADT,ENG,0.45454545454545453,0.18690481034933193,10,0.7283795210861916
14: CD14hi CD16+ Monocyte,ADT,PECAM1,0.45454545454545453,0.18690481034933193,10,0.7283795210861916
14: CD14hi CD16+ Monocyte,ADT,CD27,-0.45454545454545453,0.18690481034933193,10,0.7283795210861916
14: CD14hi CD16+ Monocyte,ADT,ITGA2B,0.45454545454545453,0.18690481034933193,10,0.7283795210861916
14: CD14hi CD16+ Monocyte,ADT,CXCR5,-0.4399433835235439,0.20325743928576404,10,0.6919535501293136
14: CD14hi CD16+ Monocyte,ADT,NECTIN2,0.43030303030303024,0.21449233253280775,10,0.6685882279464308
14: CD14hi CD16+ Monocyte,RNA,CEP128,-0.9636363636363636,7.320974809529816e-6,10,5.135431087491744
14: CD14hi CD16+ Monocyte,RNA,SMG7,-0.9515151515151513,2.27985492064173e-5,10,4.642092788600175
14: CD14hi CD16+ Monocyte,RNA,ZNF549,-0.9361745372672994,6.718873258403061e-5,10,4.17270355115544
14: CD14hi CD16+ Monocyte,RNA,MFSD6,-0.9272727272727271,1.1203450639397591e-4,10,3.9506481949330454
14: CD14hi CD16+ Monocyte,RNA,ZNF875,-0.9272727272727271,1.1203450639397591e-4,10,3.9506481949330454
14: CD14hi CD16+ Monocyte,RNA,C4orf33,0.9272727272727271,1.1203450639397663e-4,10,3.9506481949330428
14: CD14hi CD16+ Monocyte,RNA,BBS12,-0.9240164263936982,1.3295265816009187e-4,10,3.876302975273223
14: CD14hi CD16+ Monocyte,RNA,AGRN,0.915151515151515,2.0447240614883307e-4,10,3.689365292379766
14: CD14hi CD16+ Monocyte,RNA,FAM8A1,0.915151515151515,2.0447240614883307e-4,10,3.689365292379766
14: CD14hi CD16+ Monocyte,RNA,LINC00685,-0.9141792475183748,2.137492562433634e-4,10,3.6700953877575215
14: CD14hi CD16+ Monocyte,RNA,ABHD15-AS1,-0.9118583155200969,2.3714363700506522e-4,10,3.624988523766324
14: CD14hi CD16+ Monocyte,RNA,CDKAL1,-0.903030303030303,3.4361219776328576e-4,10,3.4639314277067443
14: CD14hi CD16+ Monocyte,RNA,MT-ND6,-0.903030303030303,3.4361219776328576e-4,10,3.4639314277067443
14: CD14hi CD16+ Monocyte,RNA,CRLF1,-0.9019083851355776,3.592904543883581e-4,10,3.444554320957143
14: CD14hi CD16+ Monocyte,RNA,RNASEH2B-AS1,-0.8896375227527807,5.66964721837965e-4,10,3.24644396330772
14: CD14hi CD16+ Monocyte,RNA,NPIPB2,-0.8875420937728943,6.096659573243226e-4,10,3.2149080545417337
14: CD14hi CD16+ Monocyte,RNA,AC092652.2,-0.8857162118542732,6.487507430113434e-4,10,3.1879221317476603
14: CD14hi CD16+ Monocyte,RNA,CRLF3,-0.8787878787878787,8.138621117322077e-4,10,3.089449169049934
14: CD14hi CD16+ Monocyte,RNA,ATP2A3,0.8787878787878787,8.138621117322115e-4,10,3.089449169049932
14: CD14hi CD16+ Monocyte,RNA,EXOC7,0.8787878787878787,8.138621117322115e-4,10,3.089449169049932
15: NK cell_1,ADT,C5AR1,0.8466580400786595,0.0020016323698102286,10,2.6986156843111813
15: NK cell_1,ADT,CD7,0.806060606060606,0.0048620611019646025,10,2.313179587640088
15: NK cell_1,ADT,DPP4,0.756414575087226,0.011341146711000415,10,1.9453430314147266
15: NK cell_1,ADT,NT5E,0.7423871741592171,0.013927768056464535,10,1.8561184742741486
15: NK cell_1,ADT,OLR1,0.6933037246280291,0.026203489677142117,10,1.5816408672067945
15: NK cell_1,ADT,IL7R,0.6687619998624351,0.0344851886232837,10,1.4623673942124549
15: NK cell_1,ADT,CD4,0.6564911374796382,0.03922326475029199,10,1.4064562606420488
15: NK cell_1,ADT,ITGB1,0.6242424242424242,0.05371776721716743,10,1.2698820471093482
15: NK cell_1,ADT,HLA-E,0.6242424242424242,0.05371776721716743,10,1.2698820471093482
15: NK cell_1,ADT,ICOS,0.614509867799027,0.05870352373433333,10,1.2313358290344003
15: NK cell_1,ADT,GGT1,0.5881992022553729,0.07368145588384303,10,1.1326418014312862
15: NK cell_1,ADT,B3GAT1,0.5878787878787879,0.07387770688865797,10,1.1314865932136298
15: NK cell_1,ADT,TCR-vA7.2,0.5757575757575757,0.08155281477260244,10,1.0885610448123906
15: NK cell_1,ADT,LAMP1,0.5752809675222645,0.08186467122420027,10,1.0869034780023294
15: NK cell_1,ADT,Mouse-IgG2b,0.5592731001856593,0.09278876749399563,10,1.032504593938777
15: NK cell_1,ADT,TCR-AB,0.5592731001856593,0.09278876749399563,10,1.032504593938777
15: NK cell_1,ADT,CD45RO,0.5592500638011152,0.09280512292685549,10,1.0324280496706175
15: NK cell_1,ADT,CD24,0.5592500638011152,0.09280512292685549,10,1.0324280496706175
15: NK cell_1,ADT,TIGIT,0.5515151515151514,0.09840117666963506,10,1.006999708295547
15: NK cell_1,ADT,FCGR1A,0.5515151515151514,0.09840117666963506,10,1.006999708295547
15: NK cell_1,RNA,CUL9,0.9393939393939392,5.4840529985137045e-5,10,4.260898356790834
15: NK cell_1,RNA,YIPF5,-0.9393939393939392,5.484052998513784e-5,10,4.260898356790828
15: NK cell_1,RNA,AF213884.3,0.9066928292470474,2.959115550594122e-4,10,3.5288380757296687
15: NK cell_1,RNA,UBAC2,0.8909090909090908,5.421442248338693e-4,10,3.26588516416764
15: NK cell_1,RNA,APOL6,-0.8909090909090908,5.421442248338709e-4,10,3.2658851641676385
15: NK cell_1,RNA,ZSWIM7,-0.8787878787878787,8.138621117322077e-4,10,3.089449169049934
