"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"FCGR3A",1.75059204121514e-07,-5.14651883686582,0.825,0.774,2.39831109646474e-05,"15: NK cell_1"
"ITGAE",0.00144219163203614,3.98738984735401,0.08,0.049,0.197580253588951,"15: NK cell_1"
"CD2",0.0030789392287253,7.72755125430397,0.278,0.243,0.421814674335366,"15: NK cell_1"
"ITGAX",0.00477721275286617,2.12752082597488,0.457,0.398,0.654478147142665,"15: NK cell_1"
"ITGAL",0.00586765757361321,-0.785923561801919,0.938,0.912,0.80386908758501,"15: NK cell_1"
"CD7",0.0130937599054845,17.577587940637,0.625,0.573,1,"15: NK cell_1"
"OLR1",0.296829094320647,-15.9484879191472,0.008,0.014,1,"15: NK cell_1"
"ITGA1",0.418821163357616,15.157338421973,0.11,0.097,1,"15: NK cell_1"
"NCAM1",0.610805854496483,-10.8014834228223,0.31,0.31,1,"15: NK cell_1"
"CD5",0.0112064441747306,9.35174749348749,0.024,0.034,1,"15: NK cell_1"
"CCR4",0.0804925623615355,8.815385847978,0.028,0.025,1,"15: NK cell_1"
"ITGB7",0.419176450579559,-8.57455151364852,0.04,0.035,1,"15: NK cell_1"
"B3GAT1",0.565074659259025,-7.7286538667786,0.204,0.22,1,"15: NK cell_1"
"CD52",0.39844139539496,7.27295141183976,0.016,0.019,1,"15: NK cell_1"
"CD3D",0.284657596561827,6.82262150156799,0.144,0.151,1,"15: NK cell_1"
"KIR2DL3",0.253548253522894,-6.43784062300664,0.13,0.15,1,"15: NK cell_1"
"CD8A",0.340304222587786,5.45324338236474,0.264,0.248,1,"15: NK cell_1"
"PECAM1",0.324914078782748,5.41160449035743,0.023,0.021,1,"15: NK cell_1"
"SIGLEC7",0.243063040420365,-5.35896325229171,0.306,0.304,1,"15: NK cell_1"
"KIR2DL1",0.380590047319111,-5.01565906193696,0.104,0.108,1,"15: NK cell_1"
"LAMP1",0.401242443631744,-3.82885291008777,0.019,0.027,1,"15: NK cell_1"
"TCR-vD2",0.326491499637821,-3.18287518989756,0.021,0.03,1,"15: NK cell_1"
"CD69",0.045118338588838,3.11364255982453,0.06,0.085,1,"15: NK cell_1"
"CD33",0.0777792141595802,-3.05780260793193,0.123,0.108,1,"15: NK cell_1"
"ITGB2",0.0150644798489263,-2.86032657787251,0.882,0.844,1,"15: NK cell_1"
"Mouse-IgG2b",0.155770559792166,-2.83513788658518,0.014,0.011,1,"15: NK cell_1"
"CD44",0.0834587063788133,-2.70097309344753,0.531,0.49,1,"15: NK cell_1"
"KIR3DL1",0.239895872712848,-2.6347845442396,0.166,0.145,1,"15: NK cell_1"
"HLA-A",0.775733700939826,2.56487225604007,0.201,0.198,1,"15: NK cell_1"
"CD101",0.11343927407643,2.39212994244973,0.056,0.041,1,"15: NK cell_1"
"LAG3",0.286719659758264,2.30935189890299,0.013,0.013,1,"15: NK cell_1"
"IGHM",0.661664742950818,-2.30835560207901,0.012,0.013,1,"15: NK cell_1"
"KLRK1",0.332343816704883,2.27724457614142,0.033,0.035,1,"15: NK cell_1"
"KLRD1",0.0572449422382384,-2.17390327185034,0.522,0.478,1,"15: NK cell_1"
"CXCR5",0.337619816737795,2.15777891861909,0.015,0.01,1,"15: NK cell_1"
"SELL",0.142450455505254,2.11439383510549,0.226,0.214,1,"15: NK cell_1"
"FAS",0.438589346018746,2.08151205176508,0.069,0.082,1,"15: NK cell_1"
"ANPEP",0.610445256661002,-1.96653533561318,0.051,0.058,1,"15: NK cell_1"
"CD19",0.513276934307657,-1.94908517841244,0.049,0.058,1,"15: NK cell_1"
"TCR-vA7.2",0.0483547079401787,-1.84296846581837,0.027,0.037,1,"15: NK cell_1"
"CR2",0.295640415224727,1.77085729232484,0.091,0.106,1,"15: NK cell_1"
"Rat-IgG2b",0.150707156186416,1.68352228967559,0.01,0.01,1,"15: NK cell_1"
"ITGB1",0.185863349891978,1.68342100525836,0.174,0.2,1,"15: NK cell_1"
"IGHD",0.101953148509767,-1.62901285788936,0.039,0.045,1,"15: NK cell_1"
"TFRC",0.208640006519888,1.58671322945763,0.013,0.009,1,"15: NK cell_1"
"HLA-E",0.460742968167067,-1.50905382883403,0.017,0.021,1,"15: NK cell_1"
"CD99",0.0103882311714772,1.32049089151882,0.674,0.711,1,"15: NK cell_1"
"CD45",0.861891566020621,1.29386534707795,0.587,0.596,1,"15: NK cell_1"
"CD36",0.222135766309501,1.2842525173697,0.012,0.007,1,"15: NK cell_1"
"Rat-IgG1",0.252044459658654,1.27248087881779,0.014,0.008,1,"15: NK cell_1"
"IL7R",0.31413183349459,1.19342610832689,0.011,0.01,1,"15: NK cell_1"
"CLEC12A",0.66246891304115,-1.15055328551337,0.108,0.098,1,"15: NK cell_1"
"TIGIT",0.429040263483878,-1.10639497237385,0.062,0.074,1,"15: NK cell_1"
"KLRG1",0.351936802278156,-1.06291764606625,0.058,0.071,1,"15: NK cell_1"
"CD4",0.545403761533368,1.06166286281522,0.02,0.015,1,"15: NK cell_1"
"CD45RA",0.890386528255465,1.02871467509361,0.946,0.943,1,"15: NK cell_1"
"DPP4",0.311197924148397,1.01487393927263,0.006,0.011,1,"15: NK cell_1"
"ADGRG1",0.131618243791149,0.987553731743805,0.514,0.48,1,"15: NK cell_1"
"CD47",0.265070491023765,0.951113651160646,0.058,0.061,1,"15: NK cell_1"
"PVR",0.130550266616545,-0.941228793438246,0.005,0.012,1,"15: NK cell_1"
"SIGLEC1",0.308386557520871,-0.936737297637077,0.014,0.016,1,"15: NK cell_1"
"IL2RB",0.721766362530371,-0.916706010150592,0.076,0.082,1,"15: NK cell_1"
"TNFRSF13C",0.472514110047825,-0.909148505476475,0.022,0.026,1,"15: NK cell_1"
"CD86",0.505750511131317,0.824355551962664,0.052,0.046,1,"15: NK cell_1"
"CD22",0.444466514542812,0.765308133169633,0.034,0.043,1,"15: NK cell_1"
"TCR-AB",0.470038904006572,0.722638756684687,0.034,0.034,1,"15: NK cell_1"
"FCGR2A",0.981158440529557,-0.717486727599866,0.027,0.027,1,"15: NK cell_1"
"IFNGR1",0.871174065948147,0.699784380385762,0.019,0.019,1,"15: NK cell_1"
"ITGA2B",0.652211129134903,0.676302633037586,0.018,0.014,1,"15: NK cell_1"
"IL2RA",0.403228893598636,0.67599878168197,0.015,0.016,1,"15: NK cell_1"
"IL3RA",0.504447222456359,0.621494042955141,0.049,0.04,1,"15: NK cell_1"
"CD1C",0.373174844135762,-0.594932964233842,0.034,0.043,1,"15: NK cell_1"
"CD244",0.268670170076501,-0.581001685903292,0.586,0.565,1,"15: NK cell_1"
"CLEC4C",0.64705250872849,-0.573583871220479,0.019,0.022,1,"15: NK cell_1"
"ENG",0.241454341759976,0.572432986952196,0.015,0.008,1,"15: NK cell_1"
"ENTPD1",0.0120392126512396,0.542170748054714,0.068,0.045,1,"15: NK cell_1"
"CD58",0.216183748811001,0.531246220760046,0.027,0.017,1,"15: NK cell_1"
"CX3CR1",0.0941928511131209,-0.512170327530781,0.02,0.033,1,"15: NK cell_1"
"CR1",0.894822589988759,-0.493503778801073,0.077,0.073,1,"15: NK cell_1"
"ITGA2",0.315811803773939,0.484386545411374,0.016,0.01,1,"15: NK cell_1"
"SELP",0.00853162203797752,0.448147961946996,0.019,0.008,1,"15: NK cell_1"
"CD40",0.889621941154965,-0.437521368566162,0.031,0.032,1,"15: NK cell_1"
"SLAMF7",0.502449329361717,-0.388878350658797,0.009,0.01,1,"15: NK cell_1"
"NT5E",0.864880424578484,-0.305706289049216,0.022,0.023,1,"15: NK cell_1"
"CD38",0.0139590500182028,0.302656966535099,0.654,0.6,1,"15: NK cell_1"
"CD27",0.919270597675569,0.286473107464055,0.043,0.044,1,"15: NK cell_1"
"NCR1",0.614120002865461,0.278924264707054,0.344,0.338,1,"15: NK cell_1"
"CD48",0.293078544746853,-0.260555584448087,0.582,0.595,1,"15: NK cell_1"
"SLAMF6",0.938046841448715,-0.245600264713594,0.17,0.175,1,"15: NK cell_1"
"Mouse-IgG2a",0.211875332397121,0.234014116392261,0.006,0.01,1,"15: NK cell_1"
"CD81",0.478316400623157,0.233194426256165,0.087,0.096,1,"15: NK cell_1"
"ITGA4",0.0324123063652037,0.207462390953978,0.406,0.36,1,"15: NK cell_1"
"Human-Ig",0.387542134752394,0.203896294067575,0.007,0.011,1,"15: NK cell_1"
"ITGAM",0.19725288749412,0.201288381269217,0.09,0.11,1,"15: NK cell_1"
"C5AR1",0.624049375170823,0.194947397337276,0.01,0.012,1,"15: NK cell_1"
"CCR6",0.531326435972452,0.178458267063809,0.018,0.015,1,"15: NK cell_1"
"Mouse-IgG1",0.28931457070625,0.154061938716827,0.012,0.007,1,"15: NK cell_1"
"MCAM",0.62233089699912,-0.125773545651856,0.032,0.037,1,"15: NK cell_1"
"HLA-DRA",0.97803834919761,-0.110727632686306,0.027,0.027,1,"15: NK cell_1"
"GP1BB",0.663669035378535,0.081651758198662,0.014,0.017,1,"15: NK cell_1"
"FCGR1A",0.311248119112723,-0.0613893907619647,0.039,0.047,1,"15: NK cell_1"
"ICAM1",0.70484723918059,-0.0468065359772151,0.217,0.205,1,"15: NK cell_1"
"CD14",0.916113714185422,0.0459621457451656,0.025,0.024,1,"15: NK cell_1"
"KLRB1",0.613677324766168,0.0142516564914303,0.093,0.104,1,"15: NK cell_1"
"CD163",0.752729641185161,0.00321961258843029,0.019,0.016,1,"15: NK cell_1"
"IL2RB",8.47216125239136e-07,-0.828326907593313,0.191,0.281,0.000116068609157762,"17: NK cell_2"
"CX3CR1",1.83684656392268e-06,-1.25628372803848,0.091,0.16,0.000251647979257408,"17: NK cell_2"
"CD45",6.62394287231489e-06,-0.183859780924573,0.831,0.859,0.00090748017350714,"17: NK cell_2"
"ADGRG1",8.14772711120884e-06,-3.91315734165125,0.781,0.801,0.00111623861423561,"17: NK cell_2"
"KLRB1",1.60269070213676e-05,-1.55221502889991,0.211,0.298,0.00219568626192736,"17: NK cell_2"
"ITGB1",4.93181137718515e-05,-0.415323245404629,0.413,0.503,0.00675658158674366,"17: NK cell_2"
"HLA-A",6.78000659280739e-05,-0.327445384909934,0.476,0.564,0.00928860903214612,"17: NK cell_2"
"CD45RA",0.000251884989371119,-0.736084243955846,0.953,0.967,0.0345082435438434,"17: NK cell_2"
"CD226",0.000328222971998434,-0.949912125377903,0.038,0.078,0.0449665471637855,"17: NK cell_2"
"HLA-E",0.000507788354973408,0.236919669493675,0.051,0.084,0.0695670046313568,"17: NK cell_2"
"SLAMF6",0.000595962903425312,-0.760781952592068,0.41,0.478,0.0816469177692677,"17: NK cell_2"
"KIR2DL3",0.000777082975783217,-1.03901431899337,0.571,0.636,0.106460367682301,"17: NK cell_2"
"ITGAM",0.000967283468900395,-2.19483545082536,0.194,0.245,0.132517835239354,"17: NK cell_2"
"SIGLEC7",0.00154110792228255,-13.4773824581783,0.348,0.422,0.211131785352709,"17: NK cell_2"
"NCR1",0.0018533883832943,-0.00750270162197708,0.502,0.564,0.253914208511319,"17: NK cell_2"
"FAS",0.00230238796089719,-1.14883521737303,0.194,0.199,0.315427150642915,"17: NK cell_2"
"CCR6",0.00339962420749807,3.849630822416,0.022,0.015,0.465748516427236,"17: NK cell_2"
"KIR3DL1",0.00540444315047934,4.79267289019724,0.292,0.297,0.740408711615669,"17: NK cell_2"
"CD33",0.561832046040205,-27.8860925232649,0.137,0.127,1,"17: NK cell_2"
"CLEC12A",0.266411945812884,-15.3285668259799,0.119,0.138,1,"17: NK cell_2"
"FCGR1A",0.0896256646871479,-13.6540405555173,0.076,0.056,1,"17: NK cell_2"
"CD44",0.578949866915307,-8.18602855281722,0.609,0.603,1,"17: NK cell_2"
"ITGAE",0.633680209734883,8.15739700969029,0.086,0.096,1,"17: NK cell_2"
"ITGAX",0.0770642920617868,-7.43477845803254,0.573,0.62,1,"17: NK cell_2"
"TFRC",0.302038553427545,-7.02899207359894,0.015,0.014,1,"17: NK cell_2"
"ICOS",0.0329650827116046,-5.88587251368459,0.019,0.018,1,"17: NK cell_2"
"B3GAT1",0.663702798987172,-5.74101672042097,0.277,0.266,1,"17: NK cell_2"
"ENTPD1",0.427781883255945,-5.7325017586694,0.071,0.06,1,"17: NK cell_2"
"IGKC",0.223396477941366,5.33134429891329,0.022,0.023,1,"17: NK cell_2"
"CD7",0.827316112410392,4.86353472724149,0.802,0.793,1,"17: NK cell_2"
"C5AR1",0.338239768968699,-4.47161865486289,0.036,0.045,1,"17: NK cell_2"
"HLA-DRA",0.824615910444253,-4.31104043874685,0.058,0.061,1,"17: NK cell_2"
"NCAM1",0.611994116092055,4.09536825248079,0.493,0.499,1,"17: NK cell_2"
"CCR4",0.254470551327094,3.92608843357605,0.024,0.03,1,"17: NK cell_2"
"PDCD1",0.189219377815779,-3.80803736439336,0.006,0.01,1,"17: NK cell_2"
"CD40",0.279546436407522,3.74624927420118,0.027,0.03,1,"17: NK cell_2"
"ICAM1",0.527126558605386,-3.5905875435791,0.236,0.257,1,"17: NK cell_2"
"CD28",0.680042824049967,-3.01988965467448,0.011,0.014,1,"17: NK cell_2"
"KIR2DL1",0.0150267204480447,2.95128232537742,0.648,0.641,1,"17: NK cell_2"
"CD52",0.311162751224332,-2.88739766826495,0.052,0.049,1,"17: NK cell_2"
"MS4A1",0.967199922548532,-2.78310022973717,0.01,0.009,1,"17: NK cell_2"
"Human-Ig",0.0154227912632486,2.64432388463419,0.025,0.038,1,"17: NK cell_2"
"ITGA1",0.713612093763274,2.54765747956263,0.126,0.115,1,"17: NK cell_2"
"PECAM1",0.060845735847462,-2.33855102710944,0.015,0.03,1,"17: NK cell_2"
"CD19",0.196445992080704,2.24529234523622,0.074,0.057,1,"17: NK cell_2"
"FCGR3A",0.0132555392182215,2.24475726724268,0.877,0.868,1,"17: NK cell_2"
"ITGB2",0.498432500989117,-2.14706080421146,0.976,0.972,1,"17: NK cell_2"
"SELL",0.861405679554816,-1.9484335796287,0.234,0.244,1,"17: NK cell_2"
"CD45RO",0.243388952604368,-1.93064428392602,0.006,0.013,1,"17: NK cell_2"
"CD99",0.0368118169325742,-1.83941414796439,0.914,0.925,1,"17: NK cell_2"
"Mouse-IgG2a",0.0679125296701072,1.76314249352616,0.015,0.006,1,"17: NK cell_2"
"CD22",0.684602152288631,1.75501312636696,0.05,0.054,1,"17: NK cell_2"
"CD101",0.560722832046806,-1.70611926537199,0.086,0.074,1,"17: NK cell_2"
"DPP4",0.915939819608217,-1.67694945554426,0.011,0.013,1,"17: NK cell_2"
"LAMP1",0.30360855138166,-1.60866713671979,0.025,0.028,1,"17: NK cell_2"
"CD4",0.718142305452391,1.55150718738983,0.014,0.015,1,"17: NK cell_2"
"CD3D",0.508610184484658,-1.52061091115141,0.219,0.217,1,"17: NK cell_2"
"CR1",0.823363967727939,-1.34925787090554,0.074,0.077,1,"17: NK cell_2"
"CD8A",0.060782139953838,-1.33993834924285,0.376,0.419,1,"17: NK cell_2"
"CD2",0.34545343230072,1.33736039644201,0.382,0.41,1,"17: NK cell_2"
"BTLA",0.0511876061753176,-1.33657876166783,0.008,0.019,1,"17: NK cell_2"
"TCR-vD2",0.622068905156045,1.2851004140803,0.028,0.034,1,"17: NK cell_2"
"CD1C",0.141337109511302,1.27880038714776,0.051,0.042,1,"17: NK cell_2"
"CD36",0.267431992973039,-1.18858053340464,0.014,0.013,1,"17: NK cell_2"
"IGHM",0.90155861767601,1.1806211010364,0.014,0.012,1,"17: NK cell_2"
"CD86",0.136743276804265,-1.0993687258628,0.072,0.059,1,"17: NK cell_2"
"Rat-IgG1",0.462411285872954,1.08206976730322,0.011,0.011,1,"17: NK cell_2"
"KLRG1",0.627799183220527,1.07530289959227,0.111,0.123,1,"17: NK cell_2"
"SELP",0.0265469685813412,-1.06595089775141,0.022,0.016,1,"17: NK cell_2"
"TIGIT",0.0435401288349062,-1.01004003402854,0.169,0.201,1,"17: NK cell_2"
"CXCR5",0.0701925148136439,0.967102059129812,0.023,0.011,1,"17: NK cell_2"
"ITGA2",0.29373027457754,0.965619979304089,0.018,0.01,1,"17: NK cell_2"
"Rat-IgG2a",0.110956232966381,0.923587328920231,0.011,0.004,1,"17: NK cell_2"
"NT5E",0.81238700837992,-0.859611467768516,0.024,0.024,1,"17: NK cell_2"
"Hamster-IgG",0.0294782850996558,0.859446260704952,0.014,0.005,1,"17: NK cell_2"
"IFNGR1",0.110295820429974,-0.850748839625724,0.048,0.048,1,"17: NK cell_2"
"IGHD",0.905032677467593,0.810924224351644,0.05,0.046,1,"17: NK cell_2"
"SIGLEC1",0.347327117963938,-0.789098870503114,0.027,0.024,1,"17: NK cell_2"
"FCGR2A",0.852818760405103,-0.749197551829503,0.039,0.043,1,"17: NK cell_2"
"OLR1",0.530591037718995,-0.723378901073,0.02,0.027,1,"17: NK cell_2"
