"Module","Gene","Present"
"Exhaustion","TOX",TRUE
"Exhaustion","PDCD1",TRUE
"Exhaustion","HAVCR2",TRUE
"Exhaustion","LAG3",TRUE
"Exhaustion","TIGIT",TRUE
"Exhaustion","CTLA4",TRUE
"Exhaustion","ENTPD1",TRUE
"Stemness","TCF7",TRUE
"Stemness","SELL",TRUE
"Stemness","CCR7",TRUE
"Stemness","LEF1",TRUE
"Stemness","BACH2",TRUE
"Stemness","BCL2",TRUE
"Stemness","IL7R",TRUE
"Stemness","S1PR1",TRUE
"Stemness","KLF2",TRUE
"Cytotoxicity","GZMB",TRUE
"Cytotoxicity","GNLY",TRUE
"Cytotoxicity","PRF1",TRUE
"Cytotoxicity","NKG7",TRUE
"Cytotoxicity","GZMA",TRUE
"Cytotoxicity","GZMH",TRUE
"Cytotoxicity","FGFBP2",TRUE
"Stress_IFN","HSPA1A",TRUE
"Stress_IFN","HSPA1B",TRUE
"Stress_IFN","DNAJB1",TRUE
"Stress_IFN","IFI27",TRUE
"Stress_IFN","IFI44L",TRUE
"TypeI_IFN_Memory","IFIT1",TRUE
"TypeI_IFN_Memory","IFIT3",TRUE
"TypeI_IFN_Memory","ISG15",TRUE
"TypeI_IFN_Memory","MX1",TRUE
"Inflammatory_Chemokines","CCL3",TRUE
"Inflammatory_Chemokines","CCL3L3",TRUE
"Inflammatory_Chemokines","CCL4",TRUE
"Inflammatory_Chemokines","CCL4L2",TRUE
"Inflammatory_Chemokines","CCL5",TRUE
"Terminal_Differentiation","ZEB2",TRUE
"Terminal_Differentiation","PRDM1",TRUE
"Terminal_Differentiation","TBX21",TRUE
"Terminal_Differentiation","CX3CR1",TRUE
"Terminal_Differentiation","S1PR5",TRUE
"Terminal_Differentiation","ID2",TRUE
