"","CP002-entry","CP003-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP022-entry","CP042-entry"
"LINC01409",0,0,0.0229173828348803,0.0915402028320356,0.0249187648266651,0.109022355877555,0.171170252513419,0.0288218130615098
"LINC01128",0.14289064812649,0.165437039679212,0.111861612956231,0.10042041179626,0.187425381461405,0.033981304430694,0.173186391652374,0.355106115335523
"LINC00115",0,0.0518389881029522,0.0191405876160398,0,0,0.022272374050487,0.154229724111094,0.0273090673312782
"FAM41C",0,0,0,0,0,0,0,0
"NOC2L",0.15380777720971,0.12027267405105,0.495482481255452,0.408183125881651,0.416475010916486,0.185063628798457,0.454724941514703,0.37895101238708
"KLHL17",0,0.0637153706960267,0.0897380021737193,0.0587046029641178,0.0234966822684637,0.0652332741884981,0.102979331958104,0.212877953430602
"PLEKHN1",0,0,0,0,0.0150834226817408,0,0,0.0931547616112822
"HES4",0.0757430495612916,0,0,0.0382930490457372,0,0,0,0
"ISG15",1.15163110551762,0.346870461992118,1.4059968827403,1.38410027493398,0.506509989376181,0.971703286955475,1.3882136432414,0.380409913909361
"AGRN",0,0.0704309670876091,0.0956547405586081,0,0.00552034800273809,0.022776649180621,0,0.0307571171969194
"C1orf159",0.0994993194246551,0.116971852015897,0.0366300366300366,0.180367814710218,0.0796639872710239,0.0871925486730709,0.102537343014347,0.106292301725841
"TNFRSF18",0.504516581945668,0.0889505612780417,0.187000502834085,1.13980663434951,0.273190161584817,0.450125600761813,0.367495349256927,0.351569887968617
"TNFRSF4",0.160918652402837,0,0.155790652316078,0.56532611820646,0.118107176806616,0.29303942570907,0.356842177116827,0.129462705773077
"SDF4",0.987124630750801,0.587475233665944,0.616864984129386,0.966961469621503,0.532559406447212,0.686401444805896,0.93750511105388,0.782002693347507
"B3GALT6",0.394465715727618,0.203185985868021,0.453002825035483,0.275647568274778,0.167227546598046,0.268755937898595,0.274483863654663,0.383946429703316
"C1QTNF12",0,0,0,0,0,0,0,0
"UBE2J2",0.630638797879884,0.435909363962458,0.576743709362127,0.718568025553485,0.545113307109352,0.482158255455767,0.812233490265224,0.484375110506069
"ACAP3",0.0701601823657139,0.228673054321892,0.0693246668053377,0,0.0676883554410672,0.00967488515911316,0,0.024636827208141
"PUSL1",0.245783147560987,0.128974756367847,0.214650157521884,0.0202120649858313,0.0361698416873924,0.182216958231984,0,0.221786647280998
"INTS11",0.516340770310108,0.589501087856462,0.568447241568196,0.409555782146039,0.728082454157068,0.634824373469714,0.348446328729295,0.446179312615748
"CPTP",0.354005497025483,0.36403283077178,0.180231084075512,0.164920852258154,0.201737495730331,0.365288389632814,0.200568257391632,0.161682907777233
"DVL1",0.101938619850661,0.0393708537569637,0.00986120355989449,0,0,0,0.0106633908729905,0.0199963206769954
"MXRA8",0,0,0,0,0,0,0,0
"AURKAIP1",1.18943299440119,0.757120862118346,1.24963818277623,1.15661184128059,1.15407291980437,1.61185202202962,1.10535105458027,1.41628956965615
"CCNL2",0.956403598153531,0.765218167168263,0.757280066948713,0.666647210960113,0.477178703224064,0.577106273227849,0.505686250596363,0.69672254860859
"MRPL20-AS1",0.210007648278032,0.181969072617635,0.198235720655293,0.275599693103926,0.210727411658536,0.262029330544039,0.432317629483312,0.289701020934032
"MRPL20",0.644857468871872,0.793026284179936,1.17568514741157,0.855876411719865,0.83011785560447,1.18011264637903,0.993753243196334,1.34258263933544
"ATAD3C",0,0,0,0,0,0,0,0
"ATAD3B",0.0322491179866231,0.100390731124508,0.133930031463027,0.109435848707954,0.0170105949721198,0.114251284978484,0.102547108235914,0.161062025078451
"ATAD3A",0.255534866559868,0.0652210679293938,0.0109361329833771,0.038029964217384,0.192115765301959,0.109937889919444,0.0659580621072405,0.104387014701122
"TMEM240",0,0.0668922956880781,0,0,0,0,0,0
"SSU72",1.22235576127454,1.35677713945981,1.54539527529262,1.15371366429419,1.56953398802906,1.81340058561116,1.27194986608604,1.2653845847186
"AL645728.1",0,0,0,0,0,0.0131017640215079,0,0
"FNDC10",0.041893710092365,0,0,0.0873026540259051,0,0.0277060498930547,0,0.0747986684030226
"AL691432.2",0.0458669308601884,0.0948298752038842,0.0862722547748712,0.0661191996932069,0.0260649254350606,0.0525902902651662,0.0373530158825024,0.0260103729367272
"MIB2",0.353268992261315,0.429169818774163,0.711720886130131,0.527017082568856,0.473914867508935,0.752293085797848,0.590113083704705,0.49456150995016
"MMP23B",0.233083861239974,0.488281814351139,0.214785105310452,0.0941498147198518,0.0689064278678953,0.0150041111264486,0.0905392352703784,0.0313977657349903
"CDK11B",0.417686750146176,0.392499285518496,0.479880971578311,0.36293980965986,0.202074847138653,0.572211663885962,0.451175751045535,0.45720661364651
"SLC35E2B",0.127648807270957,0.587849098460519,0.266887745652622,0.466829425394021,0.16757376633503,0.27870460890757,0.195742699535362,0.339874639143337
"CDK11A",0.375462259124223,0.487491600862608,0.766429994503328,0.203660972002834,0.396289773528629,0.47633644153672,0.619472120998136,0.40137771143925
"SLC35E2A",0.247242124078604,0.271698787138128,0.417709419345617,0.243314202922603,0.185419774009876,0.12451855540285,0.139141182364132,0.28058684697728
"NADK",0.18648641574275,0.184076548705032,0.586198919505314,0.0815932658971013,0.514862472482763,0.39287567116086,0.121661558171584,0.147013491368436
