"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"CD86",0.183,2420.26,0.211,294.509,0.443,0.419,1.033,0.157,7609.161,0.059,14.72,67747605.979,0.988
"CD274",0.71,0.002,0.003,0.001,0,0.012,0,0,0,0.026,0,1.89,0
"TNFRSF14",0.005,0.002,0.058,0.002,0.001,0.007,0,0.018,0.001,0.012,0.001,0.007,0.015
"PVR",0.003,0.006,0.005,0.009,0.006,0.01,0.009,0.007,0.004,0.005,0.001,191.863,0.025
"NECTIN2",0,0.001,0.001,0.001,0,0.001,0,0.001,0.001,0,0,0.008,0
"CD47",0.739,1.757,0.532,0.222,0.346,0.614,0.366,1.089,0.14,0.446,0.291,9.789,1.268
"CD48",98.245,22.722,48.588,16.117,9.882,110.624,153.299,196.785,11.992,26.729,298.952,65.646,19.987
"CD40",0.065,0.065,0.044,0.027,0.054,0.024,0.069,0.103,0.007,0.004,0.005,425227.647,0.012
"CD40LG",0.003,0.023,0.002,0.02,0.001,0.014,0.042,0.001,0.009,0.013,0,0.011,0
"CD52",1.357,1.107,3.696,1.712,0.665,1.915,1.768,2.434,0.541,0.37,0.439,0.964,1.054
"CD3D",190.389,3720.347,2123.13,20930.651,658.379,286.033,767.677,29965.305,5872.491,4966.636,439.376,1113.193,2010.639
"CD8A",1095835768064.83,83651599766543344,455049500286353,272575437437.095,11773485825111.5,8355524145943.43,619730650565745,125344511.853,25959210617596996,120525555.469,220113419.725,25455316673.092,32707470859298.4
"NCAM1",0.061,0.192,0.066,178097.925,0.078,0.159,58.556,0.732,3.422,6.853,1316.013,11.876,0.047
"CD19",0.077,0.474,0.216,0.506,0.335,0.189,0.057,0.092,0.25,0.001,0.029,0.051,0.023
"CD33",0.231,14457.294,416526.343,10.507,0.357,0.297,0.308,0.264,1.566,0.449,0.949,2833150.939,0.971
"ITGAX",557.733,9179.222,307982329.488,32105.475,51.187,0.631,19.466,44.884,157029.118,8296.527,0.166,17505953414.397,32.624
"HLA-A",2.175,2.55,17.685,4.343,2.428,3.819,1.65,5.5,2.65,2.312,2.265,52.157,6.006
"CD45RA",790.767,265.066,1095.064,467.629,176.215,703.519,652.485,299.234,263.558,312.13,3.74,412.427,74.784
"IL3RA",0.725,18.815,0.059,0.43,0.023,0.018,0.05,40.631,0.029,0.029,0.02,673.363,0.019
"CD7",3231926.701,77284.007,24085702.863,516731.879,236.754,92817222.327,65259666.277,828141302.743,19166573.816,19782.636,66996.915,171448.193,116.196
"ENG",0.014,0.02,0.004,0.028,0.022,0.041,0.028,0.045,0.019,0.019,0.039,0.108,0.012
"ITGA6",0.136,0.997,0.068,0.08,0.095,0.053,0.274,0.346,0.032,0.053,0.01,1.098,5.469
"CCR4",37.554,0.195,0.065,0.171,0.055,0.074,0.115,0.05,0.05,0.347,0.103,0.909,0.049
"CD4",3.751,23.024,30.759,16.678,13.677,19.464,1.348,131.202,3.132,0,0.038,0.991,0
"CD44",1131.77,10155.886,280.577,361.56,399.031,8892309.391,8073.531,2081.441,678.834,9784.272,9941.023,224322333.52,815.529
"CD14",0.022,0.025,0.036,0.024,0.035,0.019,0.012,0.015,0.009,0.004,0.03,0.473,0.014
"FCGR3A",4782.473,83678.636,1071.62,674533148.819,21.296,877.148,10.743,1.219,285438.744,71475.702,0.037,235741.986,0.012
"IL2RA",0.016,0.018,0.722,0.027,0.01,0.306,0.028,0.947,0.034,0.004,0,1.439,0
"CD45RO",0.153,2.935,0.845,0.129,0.441,0.022,0.97,0.367,0.201,2.736,1.885,0.375,3.693
"PDCD1",0.001,0.178,0.001,0.053,0.027,0,0.085,0.134,0.059,0.014,0.099,0.029,0.541
"TIGIT",0.017,16.813,0.022,0.649,0.584,0.032,0.394,0.034,26.427,0.144,27.355,0.135,3.107
"Mouse-IgG1",0.004,0.003,0.004,0.002,0.003,0.005,0.003,0.004,0.003,0.003,0.006,0.002,0
"Mouse-IgG2a",0.003,0.005,0.004,0.007,0.003,0.002,0.003,0.005,0.004,0.003,0,0.004,0
"Mouse-IgG2b",0.026,0.011,5.067,0.008,0.007,0.006,0.003,0.01,0.006,0.005,0.009,0.013,0
"Rat-IgG2b",0.202,0.005,0.008,0.007,0.008,0.003,0.008,0.012,0.004,0.039,0,0.023,0
"MS4A1",1.717,2.583,1.1,0.43,0.242,0.769,0.345,5.344,2.479,0.364,0.165,6.369,0
"NCR1",0.012,1.881,7.953,7.488,0.011,0.147,1.129,0.04,2.964,0.662,0.196,0.014,0
"PECAM1",9.571,25.883,3.248,2.744,0.197,2.332,0.787,5.064,0.113,0.403,0.038,115.074,1.948
"MCAM",0.188,18.052,373.925,219779.031,0.065,0.069,0.053,0.053,1.951,0.285,0.165,0.234,0.107
"IGHM",0.93,8.322,0.307,19.343,2.481,0.137,0.012,0.015,0.092,0.011,0.026,6393.043,0.169
"CD5",1311.438,1859.494,6088.652,382.235,231.032,1797.827,1259.581,1950.55,75.097,7.745,103.745,3365.759,301.316
"CXCR3",0.002,0.008,0.011,0.004,0.002,0,0.003,0.008,0.007,0,0,0,0.002
"CCR5",0.002,0.104,0,0.025,0.012,0.003,0.045,0.002,0.006,1.517,3.515,0.788,0.112
"FCGR2A",0.048,0.093,0.039,3.482,0.031,0.015,0.022,0.022,0.064,0.005,0.08,4.397,0.071
"CCR6",0.181,0.027,0.009,0.658,0.022,3.087,0.037,9.78,0.015,0.429,3.158,0.093,0
