"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12"
"PECAM1",10.8627,6.591,26.0686,0.2591,0.1081,2.3427,0.9244,0.1121,0.4336,0.4835,0.0214,147.9105,1.7875
"MCAM",0.1925,426.8693,21.1987,0.0665,0.0605,0.0655,0.0537,2.5578,0.1818,0.0944,0.1991,0.2355,0.0988
"IGHM",1.0773,0.3619,9.453,2.9085,0.1242,0.062,0.0019,120.7913,1.909,0.0126,0.0761,6538.4555,0.1481
"CD5",1419.934,4883.5051,2234.7156,241.8862,69.3009,1194.7306,752.5728,86.2822,1411.8537,44.1355,58.1128,3448.0724,274.265
"CXCR3",0.0012,0.0125,0.0075,0.0018,0.0029,5e-04,0.0041,0.0064,0.0141,0,0,0,0.0018
"CCR5",0.0019,7e-04,0.1189,0.0093,0.0144,0.0035,0.0512,0.0062,0.0128,1.7866,4.2414,0.7526,0.1004
"FCGR2A",0.0562,0.0662,0.0946,0.011,0.0401,0.0075,0.0376,0.0298,0.0011,0.0064,0.1025,2.9404,0.0623
"CCR6",0.2071,0.0095,0.014,0.0132,0.3281,3.709,0.0503,0.0177,25.313,0.5162,3.8139,0.0955,0.0026
"CXCR5",0.0068,0.0015,0.0511,0.0154,0.0206,0.0123,0.0184,0.0832,0.0547,0.0053,0.0233,0.0974,0.0106
"ITGAE",979.9996,259.8536,508622.5412,0.1228,7.1717,13615.3731,105.1792,0.5002,14889835328.0231,5.0276,18.7227,1.0699,6.7182
"CD69",6.8908,3.5242,12.1612,0.6217,44.417,1.1945,0.1263,10586.8948,38380.2279,38.4729,4783.3833,5.0894,12.5926
"SELL",3241610751.0737,498817.4671,474156.2058,15086.2875,1615.1381,4022.2535,66603792.6467,219676.3304,7001814.7328,43731991.1173,816.7839,1872447.5282,6.7006
"KLRB1",340.3177,134.4362,1.0346,0.0839,5.9779,12.4722,0.0239,0.0315,68748.9074,23804.0827,32891.1208,0.0139,0.0215
"CTLA4",0.0014,0.001,6e-04,2e-04,0,1e-04,2e-04,0,0,0,0,0,0
"LAG3",0.0079,0.005,0.3001,0.0267,0.0293,0.0104,0.0446,0.0435,0.0301,0.0088,0.0608,0.0375,0.0021
"KLRG1",0.1747,0.8116,364.3601,40.0432,105.8953,0.7602,275.7277,31.1479,61.7216,2327.358,9966.4358,4.2698,283.3271
"CD27",84971.1185,7480.8864,66693.137,11.4547,4.1766,9316.7626,1844.299,1.0542,293193.8789,283.6668,389.2021,996.3245,4067.5529
"LAMP1",0.0327,0.2052,0.1177,0.0701,0.4024,0.1972,0.1419,0.0849,0.0548,0.0512,0.2045,5.4063,0.0913
"FAS",0.1357,0.779,3.9047,0.2467,0.4604,0.0282,0.4718,1.4338,0.9804,1.4127,2.0975,10.7923,1.6598
"TNFRSF4",0.0015,0.0023,0.002,9e-04,0.0011,0.002,7e-04,4e-04,0.003,0.0011,0,0.0071,0.0052
"HLA-DRA",0.779,0.0316,4.1324,0.0559,0.2713,0.0851,1.3151,0.213,0.0248,0.059,0.1827,126623.6168,0.6891
"CD1C",0.0377,0.069,0.0756,0.85,0.0576,67.8849,0.0308,0.1382,0.0257,0.0949,0.0186,203210767081.754,0.0994
"ITGAM",0.0569,132.3288,0.0851,0.113,0.1518,0.0277,0.0456,0.0958,0.1317,0.1107,0.0394,156.8216,0.0429
"FCGR1A",0.0724,7.9524,0.0824,0.0426,0.103,0.0397,0.0382,0.0524,0.0248,0.0346,0.0176,11.8972,0.0372
"THBD",0.0038,5e-04,0.01,0.0063,0.015,0.001,0.0082,0.0058,0.0031,5e-04,0.0187,1.0549,0
"CD1D",0.0113,0.0012,0.0294,0.0068,0.0109,0.0096,0.0026,0.0081,5e-04,0.0215,4e-04,0.8964,0
"KLRK1",0.0292,0.2468,0.1388,0.0168,0.1156,0.0325,0.0289,0.401,0.3979,0.0388,0.0092,0.2458,0.3518
"CR1",27.0173,108.7475,48.1761,0.145,1.3291,52.0395,0.2438,1.0624,22.7683,0.1569,8.0976,251.1115,0.0405
"B3GAT1",3126.8422,0.2204,55.1887,12550608.3236,452220.8895,0.2695,36.6098,537746.5581,0.3486,11764.4692,0.152,5.8431,8192.9424
"BTLA",0.035,0.1285,0.0158,0.0054,0.0028,0.009,0.0045,0.0029,0.0074,0.0022,0.0113,0.0214,0.0236
"ICOS",17.021,19.019,669.4656,0.096,0.4368,3.0042,11.6619,0.0151,10.8514,0.8959,1.1877,0.5944,9.6642
"CD58",0.0044,0.0033,0.0871,0.0659,0.1679,0.0155,0.0875,0.0499,0.0314,0.0735,0.1324,0.4874,0.0304
"ENTPD1",10.858,0.8977,5.0409,0.2042,4.8643,0.0685,0.7264,0.0798,0.2474,0.031,0.0761,406.1015,0.6595
"CX3CR1",6e-04,0.002,0.0026,0.0166,0.006,0,0,0.0023,0.0015,0.0153,0,0,0
"CD24",0.0019,0.0012,0.0029,0.0015,0.0035,0.0207,0.003,0.018,5e-04,9e-04,0.0205,0.0795,0
"CR2",273.0669,364.5552,0.2941,0.4004,0.0983,114.3756,0.1945,0.0876,11.7171,10.1687,0.0519,114430.9895,0.0276
"ITGAL",31.3712,32.6646,27179.8064,35182.4972,42971.3449,38.1149,15485.0873,12849.3188,4051.7124,13398.5099,14426.4601,41532.6906,20328.4067
"CD79B",0.0025,0.0028,0.0178,0.0051,0.0034,0.0031,0.0011,0.0206,0.0216,0,0.0018,0.0242,0
"CD244",0.1617,0.5464,6.3428,3.415,14.4395,0.0223,3.9276,9.2077,4.4926,6.811,8.5316,5.2233,2.8284
"SIGLEC1",0.0048,0.0098,0.0227,0.0072,0.0304,0.0115,0.0126,0.008,0.011,0.0058,0.0291,0.5321,0.0023
"ITGB7",86.4916,2.311,7756.1282,8.2723,12.2666,213.6759,183.2684,95.145,2377.0943,2.3287,78.336,2.4691,49.7067
"TNFRSF13C",0.0242,0.0282,0.0324,0.0221,0.0479,0.0298,0.0357,0.0241,0.0982,0.0366,0.0132,0.8679,0.0127
"GP1BB",0.4257,17.0905,25.6758,14.5611,0.1099,1.3369,0.4951,0.1426,0.76,0.7885,0.2266,0.7026,4.3696
"ICAM1",3.5142,1.1739,5.9181,0.2549,15.2626,0.1713,0.8171,21.1297,200.8691,2.0597,1.5237,1987770.0872,0.1445
"SELP",1.9767,3.6842,168.7574,10.7985,0.3405,0.0957,16.9394,0.1418,0.2318,0.3246,0.2753,16.3415,173.3903
"IFNGR1",0.0044,0.0184,0.2392,0.0114,0.0238,0.0106,0.0259,0.0238,0.0312,0.2084,0.1737,0.1484,0.0182
"TCR-AB",5.7524,22.7172,27.1206,18843.2462,6.87,5.0123,6.3987,6.1019,1.8339,0.1931,2.8191,1.6316,42.6906
"Rat-IgG1",0.0067,0.0051,0.0057,0.0049,0.0076,0.0081,0.0021,0.026,0.0176,0.0011,0,0.0014,4e-04
"Rat-IgG2a",0.0071,0.0067,0.004,0.0041,8e-04,0.0071,0.0051,0.0075,0.0187,0.0051,0,0,0.0075
"Hamster-IgG",0.0159,0.0131,0.0076,0.6926,0.004,0.0046,0.0075,0.0029,0.0086,0.0082,0,0.0035,0.0168
"IL2RB",0.7712,0.1576,0.0775,0.0281,0.2232,0.0097,0.0307,0.2303,0.1422,0.0376,0.0528,0.1059,0.0197
"TNFRSF13B",0.0018,1e-04,1e-04,0.0013,0,0,0,0,0,0,0,0.0681,0
"FCER1A",0.421,0.0062,0.1133,0.0022,0.0059,0.0046,0.0066,0.0035,0.0046,0.0036,0.0028,0.075,0.0165
"ITGA2B",3.0247,0.4411,10.4511,2.4701,0.0868,0.062,0.4399,0.1118,0.0558,2.7646,0.0123,4.2543,37.6211
"TNFRSF9",0.031,0.1036,0.0112,0.0038,3e-04,0.0051,0.0098,0.0053,0.0337,0.0119,0.003,0.0066,0.0028
"CD163",0.0149,0.018,0.0176,0.0166,0.0318,0.0204,0.0233,0.0712,0.0219,0.013,0.0505,0.1795,0.0269
"CD83",1e-04,2e-04,0,0,0,0,3e-04,0.0082,0,0,0,4.9177,0
"IL4R",0.0046,0.0049,0.0019,0.0022,0.0013,9e-04,0,0,7e-04,4e-04,0.0057,0,1e-04
"ANPEP",0.0304,0.2038,0.0733,0.045,0.1447,0.0336,409663.2272,0.0706,0.0488,0.0251,0.1611,88.1426,0.0982
"CD2",3582.6352,39378.9776,85898.768,5270.2544,5166.9649,4286.2027,11870.6052,1528.6571,11025.4672,22663.1783,116984.7196,4173.4917,37398.5585
"CD226",0.0227,0.0524,0.1347,0.0761,0.0508,0.0345,0.195,0.0574,0.0275,0.0275,0.046,0.0803,0.1289
"ITGB1",0.1356,0.2649,8.6572,2.7961,1.1994,0.1014,1.8465,1.6282,0.6523,0.6517,0.9441,17.3121,3.7344
"CLEC4C",0.0529,0.0366,0.0447,0.0323,0.0065,0.0064,0.019,0.0068,0.0154,0.0313,4e-04,0.0105,3e-04
"ITGA2",0.8706,1.1639,3.9204,0.5267,0.28,0.2442,0.7139,0.1049,0.1114,0.1405,0.1091,3.3572,8.9585
"CD81",0.0977,0.2478,1.7406,0.9128,1.4106,0.2677,1.2357,1.0784,0.8226,1.5296,1.797,2.7848,3.8351
"IGHD",0.0662,0.0635,0.0981,0.0398,0.0319,0.0354,0.0312,0.0678,0.032,0.1428,0.0266,110.1144,0.004
"ITGB2",66.4699,168.9077,69774.0648,58045.4182,33840.0577,119.8885,75022.5019,17534.3166,498071.6526,32303.1986,30675.5398,474289.5592,77112.9659
"CD28",4.7166,14.3473,74.6341,0.0058,0.5942,0.6362,215.2095,0.1293,4.7563,31.2462,689.6641,0.1204,4.8982
"CD38",14.713,11.591,44.139,2.2082,12.3225,4.1836,14.2699,24.956,3.8453,4.0668,2.4204,5.3871,8.9658
"IL7R",2.3162,3.9671,0.0483,0.0038,0.009,0.7201,0.0839,0.0365,1.6989,0.5567,1.1717,0.5574,0.0012
"CD45",50.9566,262.5187,321.7177,121.1517,126.7766,65.2745,218.2885,122.2029,173.0153,300.7323,224.8666,170.3888,281.9401
"CD22",0.2322,0.7188,0.1291,0.098,0.0936,0.0684,0.1177,0.1195,0.0444,0.0414,0.0907,116.2324,0
"TFRC",0.112,0.5376,61.8544,0.2947,0.0839,0.9121,1.5976,1.3156,0.3684,2.1933,0.1149,138.0088,0.5951
"DPP4",0.5876,25.3122,1.9086,0.0334,0.2244,2.3804,0.1623,0.0153,290.0585,61.8687,976.0688,0.7396,0.2535
"CD36",88.0353,1.3492,773.1259,14.2082,0.1025,0.0568,0.4517,0.1938,0.0697,26.381,0.0298,25.42,462.0095
"KIR2DL1",0.0065,0.2308,28.3285,238.0641,292864.2067,0.0013,3.684,304.7121,377.4227,2.3121,0.0163,0.275,0.2529
"ITGA1",4.7002,67.0343,1660378.4764,21315.3749,6320.9262,32.3159,1034.8288,1043272.4591,69354.075,2.0117,1.0486,206.5136,599.714
"ITGA4",76.5936,11.885,721.8596,1021.7049,354.0536,35.3842,721.748,184.42,236.5581,270.2759,1398.4534,409.4648,3384.4293
"NT5E",68.7204,3342.1633,0.547,0.0323,0.037,68.9014,0.2996,0.1891,110.9185,0.051,0.0279,14.1512,0.109
"TCR-vA7.2",68.33,26462586.3061,81.8848,3.4411,17.9523,3005.572,313.7081,0.2823,4.4953,0.0347,661.1911,0.317,4.4758
"TCR-vD2",189.2057,1.1581,2.6839,14.8009,6.6122,0.0262,5.6816,110.4406,140.9714,96095641535695744,0.0101,0.5215,0.1003
"OLR1",0.0055,0.014,0.0136,0.0056,0.0048,0.0041,7e-04,0.003,0.0059,0.0039,0.014,29.2172,0.0341
"KIR2DL3",0.0245,0.1385,4.673,3.8005,20668.6364,0.0034,5.6995,9.3377,30841.084,1.3401,0,0.2106,4.8625
"KIR3DL1",2.2521,97083271.3203,3.1547,12.7607,2807.1423,0.0703,4.722,29248320119.242,3821.5928,206.2445,0.0455,0.4433,6.8344
"SLAMF7",0.0044,0.1624,0.0501,0.0058,0.0286,0.001,5e-04,0.0165,0.0078,0.0454,0.1901,14.3619,0.0047
"CD99",2171.665,80.5646,600170.6172,6960.575,23714.3151,2.8016,20001.3209,215482.3719,772178.4189,11727.9242,864.9716,900.2399,12661.7754
"CLEC12A",0.589,667.8864,38.5969,536.655,12015.2118,1.9431,18.4066,0.5983,0.2618,0.1553,3.3105,8662408.9054,0.5279
"SLAMF6",0.3671,1.5204,4.2789,1.6028,2.3792,0.5091,2.5743,1.9905,2.3962,6.1504,4.5055,0.5734,4.5625
"KLRD1",0.366,24.8411,1949.3681,435.2905,2627.7906,0.16,16062.5984,698.0792,719.8789,3566.766,4705.9562,15.8279,30.9812
"IGKC",0.6285,0.3496,1.9468,0.8093,0.3188,0.2404,0,2.7128,0.45,0,0.0415,8.2735,0.0911
"LILRB1",0.0013,7e-04,0.0013,0.0012,0.0034,0.0158,0.0218,0,0.0018,0,0,0.0131,0
"FCER2",0.001,0.0029,2e-04,4e-04,2e-04,0,0,0,0,0,0,0,0
"Human-Ig",0.2427,0.4616,0.9722,1.0248,0.1956,0.1471,0.0018,1.8039,0.2529,0.0035,0.0346,4.6175,0.1351
"SIGLEC7",1.1279,315679049.6507,4.3159,0.2127,25280.2661,1.2866,29.0706,0.5766,1.0665,1453.3413,7.6337,744236.0378,0.2031
"ADGRG1",0.4094,31.766,502.8895,973.4754,1020.3882,0.0379,102.2268,443.836,6.8646,173.9376,0.1151,14.4608,661.1064
"HLA-E",0.0478,0.2261,0.0405,0.0174,0.0098,0.0219,0.0164,0.0037,0.0235,0.06,0.0296,0.2706,0.1328
"CD82",2e-04,1e-04,0.0021,0,0.0015,8e-04,0,0.0067,0.0041,0.0037,0,0.0622,0
"CD101",42.6847,39.3655,382.264,29.8997,23.1197,36.0651,137.6291,10.6992,69.6592,1.3746,1.9185,46.9802,110.5924
"C5AR1",0.0117,8.4065,0.0779,0.0073,0.0075,0.0074,0.0022,0.0011,0.0026,0.0025,0.2682,0.76,4e-04
"GGT1",0.0155,0.1177,0.0292,0.0099,0.0178,0.02,0.0136,0,0.1294,0.0174,0.1344,0.0605,0.0179
