cluster,assay,feature,rho,p,n,neglog10p,abs_rho
19: CD14+ CD16hi Monocyte,RNA,DCUN1D2,-1,0,8,Inf,1
25: CD56bright NK,RNA,RALY,0.9833333333333332,1.936196303745917e-6,9,5.713050613292238,0.9833333333333332
11: Naïve B cell,RNA,RETSAT,0.9761904761904764,3.3143960262001043e-5,8,4.479595600407446,0.9761904761904764
19: CD14+ CD16hi Monocyte,RNA,EMSY,-0.9761904761904764,3.3143960262001043e-5,8,4.479595600407446,0.9761904761904764
19: CD14+ CD16hi Monocyte,RNA,SUGP1,0.9761904761904764,3.3143960262001043e-5,8,4.479595600407446,0.9761904761904764
8: CTL-like,RNA,NUDT18,0.9761904761904764,3.3143960262001043e-5,8,4.479595600407446,0.9761904761904764
7: Memory CD4 T cell,RNA,TARBP1,-0.9757575757575756,1.4675461874042982e-6,10,5.83340822151533,0.9757575757575756
11: Naïve B cell,RNA,DLL1,0.9700772721497398,6.548558831120588e-5,8,4.183854266505633,0.9700772721497398
19: CD14+ CD16hi Monocyte,RNA,GPR141,-0.9700772721497398,6.548558831120505e-5,8,4.183854266505638,0.9700772721497398
19: CD14+ CD16hi Monocyte,RNA,ARHGAP11B,-0.9700772721497398,6.548558831120505e-5,8,4.183854266505638,0.9700772721497398
14: CD14hi CD16+ Monocyte,RNA,CEP128,-0.9636363636363636,7.320974809529816e-6,10,5.135431087491744,0.9636363636363636
7: Memory CD4 T cell,RNA,MGLL,-0.9632626970495624,7.623095978995514e-6,10,5.117868612187764,0.9632626970495624
11: Naïve B cell,RNA,MRPS28,-0.9523809523809526,2.604000243872459e-4,8,3.5843589794308586,0.9523809523809526
11: Naïve B cell,RNA,TRIM66,-0.9523809523809526,2.604000243872459e-4,8,3.5843589794308586,0.9523809523809526
11: Naïve B cell,RNA,ZFYVE28,0.9523809523809526,2.6040002438724964e-4,8,3.5843589794308524,0.9523809523809526
8: CTL-like,RNA,NDUFB6,-0.9523809523809526,2.604000243872459e-4,8,3.5843589794308586,0.9523809523809526
14: CD14hi CD16+ Monocyte,RNA,SMG7,-0.9515151515151512,2.27985492064173e-5,10,4.642092788600175,0.9515151515151512
20: T reg,RNA,KRBOX4,0.9515151515151512,2.2798549206417097e-5,10,4.642092788600179,0.9515151515151512
7: Memory CD4 T cell,RNA,SLC25A38,0.9515151515151512,2.2798549206417097e-5,10,4.642092788600179,0.9515151515151512
21: Gamma Delta 2 T cells,RNA,BTD,-0.95,8.76252396508624e-5,9,4.057370781248911,0.95
21: Gamma Delta 2 T cells,RNA,GTF2H4,-0.95,8.76252396508624e-5,9,4.057370781248911,0.95
21: Gamma Delta 2 T cells,RNA,ZNF764,-0.95,8.76252396508624e-5,9,4.057370781248911,0.95
21: Gamma Delta 2 T cells,RNA,ELOF1,0.95,8.76252396508624e-5,9,4.057370781248911,0.95
25: CD56bright NK,RNA,SNAPC3,-0.95,8.76252396508624e-5,9,4.057370781248911,0.95
25: CD56bright NK,RNA,BRCA1,0.95,8.76252396508624e-5,9,4.057370781248911,0.95
25: CD56bright NK,RNA,TXNL1,0.95,8.76252396508624e-5,9,4.057370781248911,0.95
10: Memory CD4 T helper,RNA,POMT1,0.9454545454545454,1.118303770149319e-5,11,4.9514402109574736,0.9454545454545454
15: NK cell_1,RNA,CUL9,0.9393939393939392,5.4840529985137045e-5,10,4.260898356790834,0.9393939393939392
15: NK cell_1,RNA,YIPF5,-0.9393939393939392,5.484052998513784e-5,10,4.260898356790828,0.9393939393939392
21: Gamma Delta 2 T cells,RNA,CD200R1,-0.9372466978064098,1.9163134226574425e-4,9,3.717533458410577,0.9372466978064098
14: CD14hi CD16+ Monocyte,RNA,ZNF549,-0.9361745372672994,6.718873258403061e-5,10,4.17270355115544,0.9361745372672994
17: NK cell_2,RNA,MRPL13,-0.9333333333333332,2.3589981215941524e-4,9,3.6272724049311145,0.9333333333333332
17: NK cell_2,RNA,PRKCB,0.9333333333333332,2.3589981215941524e-4,9,3.6272724049311145,0.9333333333333332
17: NK cell_2,RNA,SRSF2,-0.9333333333333332,2.3589981215941524e-4,9,3.6272724049311145,0.9333333333333332
22: CD69+ B cell,RNA,USP6NL,-0.9333333333333332,2.3589981215941524e-4,9,3.6272724049311145,0.9333333333333332
22: CD69+ B cell,RNA,MAPKAPK5-AS1,0.9333333333333332,2.3589981215941524e-4,9,3.6272724049311145,0.9333333333333332
22: CD69+ B cell,RNA,SLC35E1,-0.9333333333333332,2.3589981215941524e-4,9,3.6272724049311145,0.9333333333333332
25: CD56bright NK,RNA,KIF13A,0.9333333333333332,2.3589981215941524e-4,9,3.6272724049311145,0.9333333333333332
8: CTL-like,RNA,SLC5A3,-0.9285714285714288,8.62968182899974e-4,8,3.064005216156979,0.9285714285714288
0: CD4 T cell,RNA,CPNE7,0.9272727272727272,3.9737742565586e-5,11,4.400796808065557,0.9272727272727272
