cluster,direction,gene,avg_log2FC,padj
0_CD4_T_cell_HighvsLowVL_PreART,Up,VIM,1.28853305238063,0
0_CD4_T_cell_HighvsLowVL_PreART,Up,SARAF,0.760268249711401,0
0_CD4_T_cell_HighvsLowVL_PreART,Up,MTRNR2L12,7.16863352829952,4.840522811823261e-264
0_CD4_T_cell_HighvsLowVL_PreART,Up,SOCS3,1.57297261518276,7.83875361509658e-262
0_CD4_T_cell_HighvsLowVL_PreART,Up,AL138963.4,3.09370463566531,2.8549254847192096e-246
0_CD4_T_cell_HighvsLowVL_PreART,Up,TSC22D3,1.91345029172175,1.8402637346379396e-234
0_CD4_T_cell_HighvsLowVL_PreART,Up,EMP3,0.845377269902471,5.80866704632675e-230
0_CD4_T_cell_HighvsLowVL_PreART,Up,CORO1B,1.58833744847685,1.6398594543866997e-229
0_CD4_T_cell_HighvsLowVL_PreART,Up,RPL36AL,0.630479587578745,6.012649005934339e-213
0_CD4_T_cell_HighvsLowVL_PreART,Up,GNAS,0.858162542780262,2.4563716384451697e-210
0_CD4_T_cell_HighvsLowVL_PreART,Up,GAREM1,2.01801984153799,4.086676121855039e-205
0_CD4_T_cell_HighvsLowVL_PreART,Up,H3F3B,0.718426127539412,3.0653164934176995e-199
0_CD4_T_cell_HighvsLowVL_PreART,Up,RAC2,0.666105795425328,6.500070773648029e-199
0_CD4_T_cell_HighvsLowVL_PreART,Up,HNRNPDL,0.862088754663712,2.79536169357781e-198
0_CD4_T_cell_HighvsLowVL_PreART,Up,CIRBP,0.939692352739074,1.3950771396191e-197
0_CD4_T_cell_HighvsLowVL_PreART,Up,VEGFB,1.22517847914616,4.26446550276061e-189
0_CD4_T_cell_HighvsLowVL_PreART,Up,KLF6,1.95540580271363,1.2605475462887898e-188
0_CD4_T_cell_HighvsLowVL_PreART,Up,LDHA,0.828241370559245,3.27855354218986e-174
0_CD4_T_cell_HighvsLowVL_PreART,Up,PKM,0.743519097222743,6.059482382911499e-171
0_CD4_T_cell_HighvsLowVL_PreART,Up,UBC,0.862752566759809,4.1289202271153995e-170
0_CD4_T_cell_HighvsLowVL_PreART,Up,AC004448.2,2.97158288983914,1.2547554139279497e-168
0_CD4_T_cell_HighvsLowVL_PreART,Up,LINC01578,0.862343196775739,6.482894180007769e-163
0_CD4_T_cell_HighvsLowVL_PreART,Up,JUND,1.10358665620137,1.4755954860815698e-158
0_CD4_T_cell_HighvsLowVL_PreART,Up,GPI,1.00296700975994,4.603379666714729e-151
0_CD4_T_cell_HighvsLowVL_PreART,Up,ENO2,1.39077334760198,2.1548203275682498e-150
0_CD4_T_cell_HighvsLowVL_PreART,Up,PPP1R15A,2.66368953872295,6.875925593659349e-150
0_CD4_T_cell_HighvsLowVL_PreART,Up,TAGLN2,0.736167855529302,8.945052692979729e-150
0_CD4_T_cell_HighvsLowVL_PreART,Up,RHOG,1.03984548348851,4.519189913009169e-148
0_CD4_T_cell_HighvsLowVL_PreART,Up,CD5,1.19747256449607,1.48786876695248e-143
0_CD4_T_cell_HighvsLowVL_PreART,Up,CRIP1,1.69562708236603,3.46271817995636e-142
0_CD4_T_cell_HighvsLowVL_PreART,Up,GAPDH,0.725582955445015,4.353015670575899e-141
0_CD4_T_cell_HighvsLowVL_PreART,Up,FOS,7.15152944979764,1.1004808020366499e-138
0_CD4_T_cell_HighvsLowVL_PreART,Up,GRK2,1.26611552872675,3.1398777127519796e-136
0_CD4_T_cell_HighvsLowVL_PreART,Up,CD27,0.736987482853162,1.6238143657534298e-133
0_CD4_T_cell_HighvsLowVL_PreART,Up,HSPA5,1.39933409633814,6.172896165789259e-131
0_CD4_T_cell_HighvsLowVL_PreART,Up,MAZ,1.30517957697178,1.77989603058434e-130
0_CD4_T_cell_HighvsLowVL_PreART,Up,RNASET2,0.827787981224518,3.2416013405117595e-126
0_CD4_T_cell_HighvsLowVL_PreART,Up,RGS10,0.642748935825398,7.76494981375648e-125
0_CD4_T_cell_HighvsLowVL_PreART,Up,CLIC1,1.60380675524484,3.6774853966595493e-118
0_CD4_T_cell_HighvsLowVL_PreART,Up,XBP1,1.22776105593254,5.037389727522129e-117
0_CD4_T_cell_HighvsLowVL_PreART,Up,SNHG12,1.696883363441,9.482899867280968e-117
0_CD4_T_cell_HighvsLowVL_PreART,Up,SEPTIN9,0.661477387956209,2.9540656035695097e-113
0_CD4_T_cell_HighvsLowVL_PreART,Up,AL133415.1,2.73415018769998,2.11964865211976e-110
0_CD4_T_cell_HighvsLowVL_PreART,Up,CD44,0.714898046353141,2.84814455019879e-109
0_CD4_T_cell_HighvsLowVL_PreART,Up,MGAT1,1.03598470720614,1.76866760100989e-108
0_CD4_T_cell_HighvsLowVL_PreART,Up,UBALD2,0.765912840674768,2.2138918864082992e-108
