comparison,cluster,module,test,mode_note,n_total,n_groupA,n_groupB,n_paired,estimate,estimate_type,ci_lower,ci_upper,statistic,p_value,p_adj
HEU vs HUU (Entry),0: CD4 T cell,MS_AdhesionMolecules_Core,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.025923173310289996,HL_shift,-0.11918050380298115,0.08315202926468714,2,0.7728299926844475,0.9350288800379736
HEU vs HUU (Entry),0: CD4 T cell,MS_Autophagy_AMPK,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.015776482852445085,HL_shift,7.759096244515642e-4,0.030777056080438604,6,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_Autophagy_CLEAR_TFs,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.05886725944315853,HL_shift,-0.07730294752339406,-0.03192279224896813,0,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_Autophagy_Cargo,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.05395371299890142,HL_shift,-0.10715930545331417,-0.013837001435475171,0,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_Autophagy_Conjugation,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.01861035723325085,HL_shift,-0.02639506888140189,-0.00454795246069839,0,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_Autophagy_Fusion,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.005017814311749849,HL_shift,-0.00712819306876078,0.00768171205441015,4,0.7728299926844475,0.9350288800379736
HEU vs HUU (Entry),0: CD4 T cell,MS_Autophagy_Initiation,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.024945134738200828,HL_shift,0.010135021628859523,0.03229329049907722,6,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_Autophagy_Lysosome,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.006133512425870305,HL_shift,-0.03417934375658631,0.0219123189048457,2,0.7728299926844475,0.9350288800379736
HEU vs HUU (Entry),0: CD4 T cell,MS_Autophagy_Mitophagy,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.33859976644289025,HL_shift,-0.4299084462138728,-0.26740241255298736,0,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_Autophagy_Xenophagy,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.019706666193407635,HL_shift,-0.03910371499845794,-3.0961738835733055e-4,0,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_Autophagy_cGAS_STING,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.005296288641579121,HL_shift,-0.011236013187695602,6.434359045373594e-4,1,0.3864762307712326,0.6699529000397546
HEU vs HUU (Entry),0: CD4 T cell,MS_Autophagy_mTORC,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.003079827412106775,HL_shift,-9.617824532007387e-5,0.015580671704413043,5,0.3864762307712326,0.6699529000397546
HEU vs HUU (Entry),0: CD4 T cell,MS_Bcell_Atypical_ABC,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.01896053250192914,HL_shift,-0.03792993835152597,8.873347667692766e-6,1,0.3864762307712326,0.6699529000397546
HEU vs HUU (Entry),0: CD4 T cell,MS_Bcell_GC_like,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.11869439055353433,HL_shift,0.09892823845714449,0.13359795587045278,6,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_Bcell_Plasmablast,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.14560377212371534,HL_shift,-0.24311965181890097,-0.1075039981966543,0,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_CD8_Effector,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.010558088163351298,HL_shift,-0.035571186963251344,0.014455010636548749,3,1,1
HEU vs HUU (Entry),0: CD4 T cell,MS_CD8_Exhaustion,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.009078590935544487,HL_shift,-0.009504724537789055,0.02766190640887803,5,0.3864762307712326,0.6699529000397546
HEU vs HUU (Entry),0: CD4 T cell,MS_CD8_Memory,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.19830533949940493,HL_shift,0.09463849032412264,0.2510604007014081,6,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_Cytokines_Core,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.008800341872130822,HL_shift,-0.015124492213649546,-0.0024761915306120985,0,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_ExhaustionMarkers_Core,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.009302602447008665,HL_shift,-0.01769882872700379,0.004106074474908843,1,0.3864762307712326,0.6699529000397546
HEU vs HUU (Entry),0: CD4 T cell,MS_GutTranslocation_Core,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.01352768508252579,HL_shift,-0.018062097875220784,-0.008993272289830795,0,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_IL10_STAT3_Myeloid_M2_Hue,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.004881628162938983,HL_shift,-0.006159351300382547,-0.0036039050254954193,0,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_IL10_STAT3_ReceptorsTransducers,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.16281915525124024,HL_shift,-0.22051092824516066,-0.09511302597328139,0,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_IL10_STAT3_TFH_Adjacent_TFs,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.17546679950397365,HL_shift,-0.23450981640750407,-0.032363683830670884,0,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_IL10_STAT3_Treg_Overlap,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.019109293742282756,HL_shift,-0.0017229155762421705,0.03994150306080768,5,0.3864762307712326,0.6699529000397546
HEU vs HUU (Entry),0: CD4 T cell,MS_ISG_TypeI,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.033577588265803184,HL_shift,-0.09134326926370037,0.024188092732094005,1,0.3864762307712326,0.6699529000397546
HEU vs HUU (Entry),0: CD4 T cell,MS_ISG_TypeII,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.06573450762013695,HL_shift,-0.16918414716648902,0.03771513192621512,2,0.7728299926844475,0.9350288800379736
HEU vs HUU (Entry),0: CD4 T cell,MS_ImmuneActivation_Core,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.015523314839912733,HL_shift,-0.03269549622958229,0.0016488665497568222,1,0.3864762307712326,0.6699529000397546
HEU vs HUU (Entry),0: CD4 T cell,MS_Myeloid_DC_Maturation,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.05899436446437205,HL_shift,-0.00681996275534396,0.12480869168408806,5,0.3864762307712326,0.6699529000397546
HEU vs HUU (Entry),0: CD4 T cell,MS_Myeloid_Inflammatory,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.08195943311686826,HL_shift,-0.1295578935073432,-0.034360972726393324,0,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_Myeloid_Regulatory,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.07093314195353753,HL_shift,-0.11815108078741184,-0.044402387622132,0,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_NK_Activation,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.01913410954882963,HL_shift,-0.03784551983690104,-4.226992607582192e-4,0,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_NK_Effector,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.005269551819096108,HL_shift,-0.016398661268654968,0.026937764906847184,3,1,1
HEU vs HUU (Entry),0: CD4 T cell,MS_NK_Inhibition,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.014015995866841352,HL_shift,-0.03942003073064165,0.011388038996958949,1,0.3864762307712326,0.6699529000397546
HEU vs HUU (Entry),0: CD4 T cell,MS_Reservoir_CD4_Reservoir_Memory,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.19830533949940493,HL_shift,0.09463849032412264,0.2510604007014081,6,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_Reservoir_CD4_Tfh_Core,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.009257982666585451,HL_shift,-0.03731593891407584,0.023559032847006958,2,0.7728299926844475,0.9350288800379736
HEU vs HUU (Entry),0: CD4 T cell,MS_Reservoir_CD4_Tph_Discriminator,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.035303302399139425,HL_shift,-0.014346126583357294,0.06489265688978593,4,0.7728299926844475,0.9350288800379736
HEU vs HUU (Entry),0: CD4 T cell,MS_SenescenceMarkers_Core,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.01247936119027913,HL_shift,0.01019273255934744,0.014765989821210822,6,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_TGFb_Downstream,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.06643728852667663,HL_shift,0.04843279824655797,0.08444177880679529,6,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_TGFb_Noncanonical,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.010940570384094378,HL_shift,-0.07240132935351956,0.050520188585330805,3,1,1
HEU vs HUU (Entry),0: CD4 T cell,MS_TGFb_ReceptorsLigands,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.052024344341700945,HL_shift,0.03306479339603999,0.05902998957514255,6,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),0: CD4 T cell,MS_TGFb_SMAD_Core,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.01664665981198333,HL_shift,-0.01847140909771325,0.0517647287216799,3,1,1
HEU vs HUU (Entry),10: Memory CD4 T helper,MS_AdhesionMolecules_Core,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.010224876680699104,HL_shift,-0.07442900120094412,0.03794229132344589,2,0.7728299926844475,0.9350288800379736
HEU vs HUU (Entry),10: Memory CD4 T helper,MS_Autophagy_AMPK,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.040478665661949756,HL_shift,-0.08135228796739499,3.949566434954723e-4,1,0.3864762307712326,0.6699529000397546
HEU vs HUU (Entry),10: Memory CD4 T helper,MS_Autophagy_CLEAR_TFs,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.0473045316092999,HL_shift,-0.0610822071878724,-0.01007697231140757,0,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),10: Memory CD4 T helper,MS_Autophagy_Cargo,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.01867582561239417,HL_shift,-0.038537258525240425,0.07588890975002877,5,0.3864762307712326,0.6699529000397546
HEU vs HUU (Entry),10: Memory CD4 T helper,MS_Autophagy_Conjugation,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.024327515192002838,HL_shift,-0.011386132590424355,0.06004116297443003,5,0.3864762307712326,0.6699529000397546
HEU vs HUU (Entry),10: Memory CD4 T helper,MS_Autophagy_Fusion,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.029659263391694092,HL_shift,-0.001473973919303484,0.04715236645884574,5,0.3864762307712326,0.6699529000397546
HEU vs HUU (Entry),10: Memory CD4 T helper,MS_Autophagy_Initiation,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.010726366498777062,HL_shift,-0.012760094283520432,0.013701151457340603,4,0.7728299926844475,0.9350288800379736
HEU vs HUU (Entry),10: Memory CD4 T helper,MS_Autophagy_Lysosome,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.012727866162215641,HL_shift,-0.026133454303519668,0.05158918662795095,4,0.7728299926844475,0.9350288800379736
HEU vs HUU (Entry),10: Memory CD4 T helper,MS_Autophagy_Mitophagy,wilcoxon_unpaired,No paired PIDs,5,3,2,0,-0.26852240113602793,HL_shift,-0.3020142290726693,-0.2398874924403989,0,0.14891467317876567,0.43433446343806653
HEU vs HUU (Entry),10: Memory CD4 T helper,MS_Autophagy_Xenophagy,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.03108010222980139,HL_shift,-0.002495352776140561,0.06465555723574334,5,0.3864762307712326,0.6699529000397546
HEU vs HUU (Entry),10: Memory CD4 T helper,MS_Autophagy_cGAS_STING,wilcoxon_unpaired,No paired PIDs,5,3,2,0,0.005454793879075848,HL_shift,0.0020541103744460224,0.01464350979127677,6,0.14891467317876567,0.43433446343806653
