comparison,cluster,module,test,mode_note,n_total,n_groupA,n_groupB,n_paired,estimate,estimate_type,ci_lower,ci_upper,statistic,p_value,p_adj
HEI vs HEU (Entry),0: CD4 T cell,MS_AdhesionMolecules_Core,wilcoxon_unpaired,No paired PIDs,14,11,3,0,-0.004904875474334246,HL_shift,-0.03636610546904134,0.07858942227520976,16,1,1
HEI vs HEU (Entry),0: CD4 T cell,MS_Autophagy_AMPK,wilcoxon_unpaired,No paired PIDs,14,11,3,0,9.294881404542072e-4,HL_shift,-0.012399151883837825,0.015623061598571028,19,0.7554968749288828,0.8978014601014209
HEI vs HEU (Entry),0: CD4 T cell,MS_Autophagy_CLEAR_TFs,wilcoxon_unpaired,No paired PIDs,14,11,3,0,0.033118940802803226,HL_shift,-0.007711049694199726,0.05886066430874473,27,0.11947098677170073,0.3982366225723358
HEI vs HEU (Entry),0: CD4 T cell,MS_Autophagy_Cargo,wilcoxon_unpaired,No paired PIDs,14,11,3,0,0.014573771175769738,HL_shift,-0.13615856649216965,0.0954697363772878,19,0.7554968749288828,0.8978014601014209
HEI vs HEU (Entry),0: CD4 T cell,MS_Autophagy_Conjugation,wilcoxon_unpaired,No paired PIDs,14,11,3,0,-0.017545972964824786,HL_shift,-0.03938176774085861,0.00402751545632964,7,0.1611249492890518,0.47849227364627506
HEI vs HEU (Entry),0: CD4 T cell,MS_Autophagy_Fusion,wilcoxon_unpaired,No paired PIDs,14,11,3,0,-0.01887466299131086,HL_shift,-0.0524097434633175,-5.724982023032192e-4,3,0.042960146028425066,0.318946538695883
HEI vs HEU (Entry),0: CD4 T cell,MS_Autophagy_Initiation,wilcoxon_unpaired,No paired PIDs,14,11,3,0,-0.0067198164469220445,HL_shift,-0.03206658656248039,0.010181943600565055,9,0.2757578478275093,0.5849408893310802
HEI vs HEU (Entry),0: CD4 T cell,MS_Autophagy_Lysosome,wilcoxon_unpaired,No paired PIDs,14,11,3,0,0.0043614409013810985,HL_shift,-0.018009665278485312,0.028364169578540325,22,0.43627492884052915,0.7001355299078361
HEI vs HEU (Entry),0: CD4 T cell,MS_Autophagy_Mitophagy,wilcoxon_unpaired,No paired PIDs,14,11,3,0,0.14487302776435954,HL_shift,-0.027194649961273524,0.4147312479467361,27,0.11947098677170073,0.3982366225723358
HEI vs HEU (Entry),0: CD4 T cell,MS_Autophagy_Xenophagy,wilcoxon_unpaired,No paired PIDs,14,11,3,0,-0.0052560311332086815,HL_shift,-0.07494734006970247,0.0321120257775819,15,0.8762696636277617,0.956995843635074
HEI vs HEU (Entry),0: CD4 T cell,MS_Autophagy_cGAS_STING,wilcoxon_unpaired,No paired PIDs,14,11,3,0,0.0017433994590389823,HL_shift,-0.01053717149331097,0.009775489333183833,20,0.640428787412791,0.8375714568476892
HEI vs HEU (Entry),0: CD4 T cell,MS_Autophagy_mTORC,wilcoxon_unpaired,No paired PIDs,14,11,3,0,-0.0028767525300114546,HL_shift,-0.021485289521699622,0.01625260372823398,12,0.5334165134726944,0.7664929372481533
HEI vs HEU (Entry),0: CD4 T cell,MS_Bcell_Atypical_ABC,wilcoxon_unpaired,No paired PIDs,14,11,3,0,0.013246262410635376,HL_shift,0.001000915886750965,0.031221134305713823,30,0.042960146028425066,0.318946538695883
HEI vs HEU (Entry),0: CD4 T cell,MS_Bcell_GC_like,wilcoxon_unpaired,No paired PIDs,14,11,3,0,-0.0591949548514383,HL_shift,-0.1054793517009724,0.02590003366364607,6,0.11947098677170073,0.3982366225723358
HEI vs HEU (Entry),0: CD4 T cell,MS_Bcell_Plasmablast,wilcoxon_unpaired,No paired PIDs,14,11,3,0,0.07870956943092265,HL_shift,-0.023434306136367957,0.17991409116609425,27,0.11947098677170073,0.3982366225723358
HEI vs HEU (Entry),0: CD4 T cell,MS_CD8_Effector,wilcoxon_unpaired,No paired PIDs,14,11,3,0,0.010552649903412306,HL_shift,-0.009486443117790526,0.038233506592793565,27,0.11947098677170073,0.3982366225723358
HEI vs HEU (Entry),0: CD4 T cell,MS_CD8_Exhaustion,wilcoxon_unpaired,No paired PIDs,14,11,3,0,-0.004628993872118134,HL_shift,-0.0250397940274191,0.01905485513480517,13,0.640428787412791,0.8375714568476892
HEI vs HEU (Entry),0: CD4 T cell,MS_CD8_Memory,wilcoxon_unpaired,No paired PIDs,14,11,3,0,-0.1114843113387593,HL_shift,-0.2380793936386477,0.041691926631029955,8,0.21291190281150457,0.5225050035607876
HEI vs HEU (Entry),0: CD4 T cell,MS_Cytokines_Core,wilcoxon_unpaired,No paired PIDs,14,11,3,0,0.005799396252674038,HL_shift,-0.004359025558240948,0.016263945437229657,29,0.06170669002831272,0.34621692496801415
HEI vs HEU (Entry),0: CD4 T cell,MS_ExhaustionMarkers_Core,wilcoxon_unpaired,No paired PIDs,14,11,3,0,0.017522582743350446,HL_shift,-0.0030357362307968016,0.034358107493278764,29,0.06170669002831272,0.34621692496801415
HEI vs HEU (Entry),0: CD4 T cell,MS_GutTranslocation_Core,wilcoxon_unpaired,No paired PIDs,14,11,3,0,0.0034008492414695883,HL_shift,-0.006642375730873951,0.016936432599779543,24,0.2757578478275093,0.5849408893310802
HEI vs HEU (Entry),0: CD4 T cell,MS_IL10_STAT3_Myeloid_M2_Hue,wilcoxon_unpaired,No paired PIDs,14,11,3,0,0.0013022339850981427,HL_shift,-7.685335300683071e-5,0.005463811950297754,29,0.06170669002831272,0.34621692496801415
HEI vs HEU (Entry),0: CD4 T cell,MS_IL10_STAT3_ReceptorsTransducers,wilcoxon_unpaired,No paired PIDs,14,11,3,0,0.08311972588382653,HL_shift,-0.05317737601466325,0.21939374697296368,25,0.21291190281150457,0.5225050035607876
HEI vs HEU (Entry),0: CD4 T cell,MS_IL10_STAT3_TFH_Adjacent_TFs,wilcoxon_unpaired,No paired PIDs,14,11,3,0,0.17509039189622733,HL_shift,0.037695426769814896,0.25773247041767006,32,0.019517481182177755,0.318946538695883
HEI vs HEU (Entry),0: CD4 T cell,MS_IL10_STAT3_Treg_Overlap,wilcoxon_unpaired,No paired PIDs,14,11,3,0,0.001592618527139356,HL_shift,-0.03831507376826712,0.020456805809065805,17,1,1
HEI vs HEU (Entry),0: CD4 T cell,MS_ISG_TypeI,wilcoxon_unpaired,No paired PIDs,14,11,3,0,-0.0354283828313597,HL_shift,-0.14762245906369137,0.05191658130890456,11,0.43627492884052915,0.7001355299078361
HEI vs HEU (Entry),0: CD4 T cell,MS_ISG_TypeII,wilcoxon_unpaired,No paired PIDs,14,11,3,0,-0.0036646959485441017,HL_shift,-0.3011731464464132,0.10598702926305172,15,0.8762696636277617,0.956995843635074
HEI vs HEU (Entry),0: CD4 T cell,MS_ImmuneActivation_Core,wilcoxon_unpaired,No paired PIDs,14,11,3,0,-5.327623783981275e-4,HL_shift,-0.02192752428934531,0.021488161524132625,16,1,1
