"CD8_Annotation","Timepoint_Group","cloneSize","n"
"TEM CD8","PostART_Suppressed","Small (1 < X <= 5)",471
"TEM CD8","PostART_Suppressed","Single (0 < X <= 1)",544
"TEM CD8","PostART_Unsuppressed","Large (20 < X <= 100)",118
"TEM CD8","PostART_Unsuppressed","Medium (5 < X <= 20)",258
"TEM CD8","PostART_Unsuppressed","Small (1 < X <= 5)",320
"TEM CD8","PostART_Unsuppressed","Single (0 < X <= 1)",359
"TEMRA CD8","PreART_Entry","Hyperexpanded (100 < X <= 500)",132
"TEMRA CD8","PreART_Entry","Large (20 < X <= 100)",309
"TEMRA CD8","PreART_Entry","Medium (5 < X <= 20)",236
"TEMRA CD8","PreART_Entry","Small (1 < X <= 5)",138
"TEMRA CD8","PreART_Entry","Single (0 < X <= 1)",111
"TEMRA CD8","PostART_Suppressed","Hyperexpanded (100 < X <= 500)",6
"TEMRA CD8","PostART_Suppressed","Large (20 < X <= 100)",275
"TEMRA CD8","PostART_Suppressed","Medium (5 < X <= 20)",381
"TEMRA CD8","PostART_Suppressed","Small (1 < X <= 5)",259
"TEMRA CD8","PostART_Suppressed","Single (0 < X <= 1)",149
"TEMRA CD8","PostART_Unsuppressed","Large (20 < X <= 100)",58
"TEMRA CD8","PostART_Unsuppressed","Medium (5 < X <= 20)",234
"TEMRA CD8","PostART_Unsuppressed","Small (1 < X <= 5)",137
"TEMRA CD8","PostART_Unsuppressed","Single (0 < X <= 1)",75
"Transitional Tem CD8","PreART_Entry","Hyperexpanded (100 < X <= 500)",19
"Transitional Tem CD8","PreART_Entry","Large (20 < X <= 100)",14
"Transitional Tem CD8","PreART_Entry","Medium (5 < X <= 20)",29
"Transitional Tem CD8","PreART_Entry","Small (1 < X <= 5)",40
"Transitional Tem CD8","PreART_Entry","Single (0 < X <= 1)",171
"Transitional Tem CD8","PostART_Suppressed","Large (20 < X <= 100)",40
"Transitional Tem CD8","PostART_Suppressed","Medium (5 < X <= 20)",48
"Transitional Tem CD8","PostART_Suppressed","Small (1 < X <= 5)",63
"Transitional Tem CD8","PostART_Suppressed","Single (0 < X <= 1)",440
"Transitional Tem CD8","PostART_Unsuppressed","Large (20 < X <= 100)",7
"Transitional Tem CD8","PostART_Unsuppressed","Medium (5 < X <= 20)",24
"Transitional Tem CD8","PostART_Unsuppressed","Small (1 < X <= 5)",29
"Transitional Tem CD8","PostART_Unsuppressed","Single (0 < X <= 1)",120
"γδ2 T cell","PreART_Entry","Small (1 < X <= 5)",2
"γδ2 T cell","PreART_Entry","Single (0 < X <= 1)",7
"γδ2 T cell","PostART_Suppressed","Large (20 < X <= 100)",1
"γδ2 T cell","PostART_Suppressed","Medium (5 < X <= 20)",2
"γδ2 T cell","PostART_Suppressed","Small (1 < X <= 5)",2
"γδ2 T cell","PostART_Unsuppressed","Medium (5 < X <= 20)",1
"γδ2 T cell","PostART_Unsuppressed","Small (1 < X <= 5)",1
"γδ2 T cell","PostART_Unsuppressed","Single (0 < X <= 1)",3
